family,n_pairs,mean_abs_d,sig_rate,drought_fc
ARF,794,0.9125795377874313,0.0654911838790932,
C2H2,2528,0.9226016623588258,0.06922468354430379,
Dof,1335,0.9565505198816183,0.07790262172284644,
ERF,2249,0.8739774388057309,0.061805246776345045,0.9374067796610168
G2-like,1255,0.9306943527219705,0.07250996015936255,-0.34700000000000003
GATA,485,0.9572955393015243,0.07010309278350516,-0.04676000000000003
HD-ZIP,760,0.9593923426619405,0.06973684210526315,
HSF,190,1.0894921993214013,0.09473684210526316,1.1543199999999998
LBD,1030,0.905518798074161,0.062135922330097085,
MYB,2826,0.9553066308630365,0.07218683651804671,0.38796666666666657
NAC,2105,0.9154922496339207,0.0669833729216152,3.9966666666666666
SBP,867,0.9192175444685328,0.0726643598615917,
TCP,739,0.8819390942987029,0.07036535859269283,
Trihelix,1267,1.025141536956663,0.07734806629834254,0.3821379310344828
WRKY,759,0.9209013792729909,0.06455862977602109,0.08520999999999997
bHLH,830,0.9762233801415787,0.0783132530120482,
bZIP,810,0.9229986691731255,0.0654320987654321,0.8542916666666667
