gene_id,n_bqtl,mean_concordance,max_concordance,min_fisher_p,n_nominal,mean_odds_ratio,n_hybrids,n_b73_high,n_nam_high,mean_abs_ase,std_signed,combined_p,combined_fdr
Zm00001eb000480,1,0.45454545454545453,0.45454545454545453,0.5227272727272727,0,,22,19,3,0.19787172399646427,0.14459104438891351,0.5227272727272727,1.0
Zm00001eb000510,1,0.5217391304347826,0.5217391304347826,1.0,0,1.0666666666666667,23,13,10,0.19781902170722768,0.3752124792820433,1.0,1.0
Zm00001eb000670,1,0.20833333333333334,0.20833333333333334,1.0,0,,24,3,21,1.1136865249716534,0.6095217338285365,1.0,1.0
Zm00001eb000700,1,0.4,0.4,1.0,0,0.7333333333333333,20,14,6,0.13803891776509958,0.18447803178797476,1.0,1.0
Zm00001eb000760,3,0.6031746031746031,0.6666666666666666,0.14860681114551086,0,0.7166666666666667,21,15,6,0.2536697411872334,0.2935699542839513,0.38474270819272915,1.0
Zm00001eb000800,3,0.6666666666666666,0.7142857142857143,0.1923076923076923,0,0.4166666666666667,14,7,7,0.2503845658639104,0.3732255281888196,0.3599655243573266,1.0
Zm00001eb000840,1,0.6086956521739131,0.6086956521739131,0.05740403088632997,0,,23,16,7,0.750192209485176,0.9324034482620175,0.05740403088632997,1.0
Zm00001eb000880,2,0.47916666666666663,0.5416666666666666,0.5440429136081311,0,1.6666666666666667,24,5,19,0.6433293148933173,0.6844200697988868,0.8752166058475582,1.0
Zm00001eb000920,2,0.5434782608695652,0.5652173913043478,0.4861660079051384,0,0.5,23,13,10,0.2700363072662573,0.46603000075870854,0.6906995237713729,1.0
Zm00001eb000960,1,0.7142857142857143,0.7142857142857143,0.1375291375291375,0,8.333333333333334,14,6,8,0.6218188666630894,0.7426999143349508,0.1375291375291375,1.0
Zm00001eb000980,1,0.5833333333333334,0.5833333333333334,0.4212208911024365,0,0.42857142857142855,24,10,14,0.3646786152453955,0.4696692655617455,0.4212208911024365,1.0
Zm00001eb000990,1,0.625,0.625,0.4080966482702921,0,2.7,24,11,13,0.5116381172531907,0.6336687572625078,0.4080966482702921,1.0
Zm00001eb001000,2,0.5416666666666666,0.6666666666666666,0.5296442687747036,0,0.8,24,17,7,0.17601141647787477,0.1770743823248898,0.866259518956781,1.0
Zm00001eb001010,1,0.3684210526315789,0.3684210526315789,1.0,0,,19,15,4,0.5112381923724449,0.5070103427752897,1.0,1.0
Zm00001eb001040,1,0.6666666666666666,0.6666666666666666,0.5742690058479532,0,2.4,21,7,14,0.2467060782468514,0.2783100238612032,0.5742690058479532,1.0
Zm00001eb001050,2,0.65625,0.75,0.10576923076923078,0,0.7135416666666666,16,9,7,0.716661202255204,0.9848397685816526,0.3433793450939714,1.0
Zm00001eb001070,4,0.45454545454545453,0.6363636363636364,0.053656869446343125,0,,22,5,17,0.2691507467676041,0.3124155078288494,0.4022167115082568,1.0
Zm00001eb001130,2,0.6136363636363636,0.6363636363636364,0.3107769423558897,0,4.732142857142858,22,11,11,0.26439474092894333,0.3232125278090572,0.49252530797003646,1.0
Zm00001eb001270,1,0.5263157894736842,0.5263157894736842,1.0,0,1.3888888888888888,19,11,8,0.41956349980416413,0.9980616426218198,1.0,1.0
Zm00001eb001280,1,0.5217391304347826,0.5217391304347826,1.0,0,0.75,23,16,7,0.6305858274844163,0.7282916582865082,1.0,1.0
Zm00001eb001290,1,0.8260869565217391,0.8260869565217391,0.3241106719367588,0,6.0,23,4,19,0.3135986282193314,0.32968383089821396,0.3241106719367588,1.0
Zm00001eb001400,1,0.5,0.5,1.0,0,1.4285714285714286,18,7,11,0.1431935469241601,0.18372286992231646,1.0,1.0
Zm00001eb001460,1,0.6818181818181818,0.6818181818181818,0.1718266253869969,0,5.0,22,12,10,0.7432537167002196,0.9515173530308565,0.1718266253869969,1.0
Zm00001eb001490,1,0.3181818181818182,0.3181818181818182,1.0,0,,22,18,4,0.63840514011792,0.4842894136406068,1.0,1.0
Zm00001eb001510,3,0.6111111111111112,0.75,0.03274330327096514,1,3.7074074074074073,24,11,13,0.6239666701256044,0.7443242866772318,0.2631498145156559,1.0
Zm00001eb001530,1,0.47619047619047616,0.47619047619047616,0.28070175438596495,0,,21,6,15,1.437275352050719,2.6300776902368987,0.28070175438596495,1.0
Zm00001eb001570,1,0.6153846153846154,0.6153846153846154,0.5648795648795648,0,0.25,13,8,5,0.39296107893396004,0.528936730902321,0.5648795648795648,1.0
Zm00001eb001600,2,0.6086956521739131,0.6521739130434783,0.15495259888852567,0,0.3712121212121212,23,11,12,0.6341793064538735,0.72435188232144,0.3378702412178851,1.0
Zm00001eb001650,1,0.6190476190476191,0.6190476190476191,1.0,0,0.6818181818181818,21,7,14,0.17358958061798124,0.22282966178627933,1.0,1.0
Zm00001eb001680,3,0.5277777777777778,0.5833333333333334,0.5108695652173914,0,0.5267857142857143,24,9,15,0.3073055196615811,0.37082258505458304,0.8139455691694445,1.0
Zm00001eb001710,1,0.6666666666666666,0.6666666666666666,1.0,0,0.8,24,17,7,0.26685353453657884,0.3594896120440323,1.0,1.0
Zm00001eb001720,2,0.5,0.5217391304347826,1.0,0,0.9872685185185185,23,10,13,0.3100297128357629,0.38749118574104646,1.0,1.0
Zm00001eb001830,2,0.4375,0.5,0.27206851119894604,0,1.4285714285714286,24,5,19,1.0033749067322242,1.1904824442444322,0.626220463598647,1.0
Zm00001eb001840,1,0.35,0.35,1.0,0,,20,5,15,0.21140021902790945,0.19924760544457687,1.0,1.0
Zm00001eb001880,2,0.5208333333333333,0.5416666666666666,0.266304347826087,0,0.7,24,9,15,0.353128595613683,0.44589206879886,0.6186557473664109,1.0
Zm00001eb001950,2,0.5217391304347826,0.6956521739130435,1.0,0,1.0625,23,5,18,0.34730603101587326,0.3993980533268559,1.0,1.0
Zm00001eb001980,1,0.5217391304347826,0.5217391304347826,1.0,0,0.875,23,12,11,0.2457783745199328,0.30902198698936856,1.0,1.0
Zm00001eb002010,5,0.6782608695652174,0.7391304347826086,0.2704686617730096,0,1.4923809523809526,23,17,6,0.7937271107967065,0.7833105463221306,0.6526287436932727,1.0
Zm00001eb002040,3,0.6041666666666666,0.6875,0.3146853146853147,0,3.0,16,8,8,0.2037567856288001,0.27809463125664374,0.888847776340845,1.0
Zm00001eb002070,1,0.5714285714285714,0.5714285714285714,1.0,0,0.6666666666666666,14,6,8,0.5166844238717285,0.581808005840121,1.0,1.0
Zm00001eb002090,1,0.5714285714285714,0.5714285714285714,0.6594427244582044,0,1.9444444444444444,21,10,11,0.40529305816743694,0.47149326726350554,0.6594427244582044,1.0
Zm00001eb002190,1,0.7083333333333334,0.7083333333333334,1.0,0,1.3333333333333333,24,4,20,0.5573159112547159,0.46868119296341143,1.0,1.0
Zm00001eb002320,2,0.6470588235294118,0.6470588235294118,0.334841628959276,0,3.4305555555555554,17,10,7,0.26365094434529723,0.34744684574564366,0.3684207908485714,1.0
Zm00001eb002380,1,0.3333333333333333,0.3333333333333333,1.0,0,,24,18,6,0.5666621211457112,0.5599417847472357,1.0,1.0
Zm00001eb002430,1,0.6666666666666666,0.6666666666666666,0.6080368906455863,0,0.5357142857142857,24,19,5,0.15506142438751527,0.11383373688857319,0.6080368906455863,1.0
Zm00001eb002470,4,0.5952380952380952,0.6666666666666666,0.20309597523219816,0,2.0482954545454546,21,9,12,0.5045790150011731,0.5806452623451416,0.6048881684210874,1.0
Zm00001eb002510,2,0.6,0.7,0.5597910216718266,0,1.5208333333333333,20,5,15,0.3077406050623076,0.38266458524926317,0.7099510913919105,1.0
Zm00001eb002530,1,0.7,0.7,0.1408668730650155,0,9.0,20,10,10,0.17307112646690392,0.25249812883015904,0.1408668730650155,1.0
Zm00001eb002560,1,0.8571428571428571,0.8571428571428571,0.0010319917440660476,1,,21,11,10,0.3321410942314301,0.37684594572569075,0.0010319917440660476,1.0
Zm00001eb002620,3,0.6031746031746031,0.6666666666666666,0.09022556390977444,0,2.083333333333333,21,10,11,1.3104304847075858,1.590644047463631,0.348543694891474,1.0
Zm00001eb002740,2,0.6190476190476191,0.6190476190476191,0.6177109440267335,0,1.2083333333333333,21,8,13,0.19473594442273937,0.27813492798090195,0.9152837150422669,1.0
Zm00001eb002930,1,0.2857142857142857,0.2857142857142857,1.0,0,,21,17,4,0.1890538113356594,0.1807101345471417,1.0,1.0
Zm00001eb002940,2,0.47619047619047616,0.47619047619047616,1.0,0,1.1875,21,13,8,0.37583468534923864,0.5350280044201553,1.0,1.0
Zm00001eb003000,1,0.5333333333333333,0.5333333333333333,1.0,0,1.1666666666666667,15,7,8,0.17297180271694812,0.25741674005417825,1.0,1.0
Zm00001eb003130,2,0.5238095238095237,0.6666666666666666,1.0,0,1.3,21,6,15,0.18677546708173062,0.22025021021417857,1.0,1.0
Zm00001eb003140,1,0.47368421052631576,0.47368421052631576,1.0,0,2.2222222222222223,19,14,5,0.7030565945230753,0.7124547642794333,1.0,1.0
Zm00001eb003190,3,0.48611111111111116,0.6666666666666666,0.5760869565217391,0,1.7333333333333334,24,21,3,0.5398940858921936,0.4081827067707613,0.9814050028947268,1.0
Zm00001eb003200,3,0.5507246376811593,0.5652173913043478,0.47826086956521735,0,0.6916666666666667,23,12,11,0.33699558949457936,0.39695043203409486,0.8916496696096579,1.0
Zm00001eb003230,1,0.6666666666666666,0.6666666666666666,0.3146853146853147,0,0.24,15,7,8,0.340699713928789,0.44867265473155876,0.3146853146853147,1.0
Zm00001eb003340,2,0.5454545454545454,0.6363636363636364,1.0,0,1.5524475524475525,22,7,15,0.5391555780235435,0.6481683331877266,1.0,1.0
Zm00001eb003350,1,0.5789473684210527,0.5789473684210527,0.6576962768913234,0,0.5714285714285714,19,8,11,0.16487786133908874,0.20349447018081807,0.6576962768913234,1.0
Zm00001eb003440,1,0.6470588235294118,0.6470588235294118,0.5367647058823529,0,0.2777777777777778,17,7,10,0.3024280881084595,0.3961179872328222,0.5367647058823529,1.0
Zm00001eb003480,3,0.4561403508771929,0.631578947368421,0.5170278637770898,0,3.3333333333333335,19,16,3,0.19307466555693453,0.21882399309812836,0.8651099426348268,1.0
Zm00001eb003490,4,0.48750000000000004,0.65,1.0,0,1.0291666666666668,20,7,13,0.27638347114360673,0.376969167888127,1.0,1.0
Zm00001eb003550,1,0.6818181818181818,0.6818181818181818,0.3340838727835631,0,0.3333333333333333,22,6,16,0.4353664275678527,0.550362025216778,0.3340838727835631,1.0
Zm00001eb003670,1,0.6190476190476191,0.6190476190476191,0.5533834586466165,0,3.142857142857143,21,9,12,0.23443641124922285,0.2947330287483717,0.5533834586466165,1.0
Zm00001eb003730,1,0.75,0.75,0.10144927536231886,0,,24,16,8,2.0534082174726525,3.220725861861254,0.10144927536231886,1.0
Zm00001eb003810,1,0.5789473684210527,0.5789473684210527,1.0,0,0.7,19,8,11,0.401041370293799,0.6836040911093352,1.0,1.0
Zm00001eb003880,1,0.5882352941176471,0.5882352941176471,1.0,0,1.5,17,7,10,0.2953319834843127,0.36558759591844675,1.0,1.0
Zm00001eb003890,2,0.675,0.7,0.04189886480908153,1,,20,8,12,0.2813805589825603,0.34223818090756386,0.01622160038428138,1.0
Zm00001eb003960,2,0.5,0.5789473684210527,1.0,0,0.8958333333333333,19,6,13,1.2854491312258662,1.6322513508323757,1.0,1.0
Zm00001eb004000,2,0.6499999999999999,0.7,0.15967492260061922,0,3.8791666666666664,20,7,13,0.47622511342516677,0.6279756512974383,0.33616058489100514,1.0
Zm00001eb004030,2,0.6904761904761905,0.7142857142857143,0.5528035775713794,0,1.9861111111111112,21,16,5,0.17863707880480062,0.17915340086710163,0.8804792994351327,1.0
Zm00001eb004170,1,0.5555555555555556,0.5555555555555556,1.0,0,0.625,18,9,9,0.210594149406254,0.27690520974097277,1.0,1.0
Zm00001eb004180,1,0.8333333333333334,0.8333333333333334,0.34288537549407117,0,4.75,24,21,3,0.6572924149199488,0.4375143396251904,0.34288537549407117,1.0
Zm00001eb004310,2,0.5217391304347826,0.6086956521739131,1.0,0,1.2321428571428572,23,9,14,0.23135966707654254,0.29333736231335866,1.0,1.0
Zm00001eb004320,1,0.5454545454545454,0.5454545454545454,1.0,0,0.9259259259259259,22,8,14,0.5450587718774998,0.6554513750746321,1.0,1.0
