gene_id,mean_abs_ase,std_abs_ase,mean_signed,std_signed,n_hybrids,n_bqtl,bqtl_bin
Zm00001eb000010,0.26219579745669797,0.28446985268402764,0.13227708852113368,0.36938230757183294,13,0,0
Zm00001eb000020,0.9001636506762375,0.5043631794715783,-0.14687460842453381,1.0958326303251664,6,0,0
Zm00001eb000060,0.15342727459956515,0.03316399744486043,-0.15342727459956515,0.03316399744486043,2,0,0
Zm00001eb000080,0.9540650174737563,1.1759727544700231,0.672593758459984,1.390086742485252,6,0,0
Zm00001eb000150,0.6641412566343035,0.07649166489332178,0.6641412566343035,0.07649166489332178,2,0,0
Zm00001eb000170,0.21201370427045563,0.20544655259222183,-0.00853016418618616,0.3019355305752835,12,0,0
Zm00001eb000180,0.0,,0.0,,1,0,0
Zm00001eb000190,0.4390520656616332,0.3789856449719108,0.19291375570585137,0.555275766708492,18,0,0
Zm00001eb000210,0.22762393594914773,0.1647501449017547,-0.10734474745081544,0.2660636235461237,13,0,0
Zm00001eb000220,0.3865345167493874,0.36485847874739524,-0.07986624278245627,0.5339395285613022,17,0,0
Zm00001eb000230,0.4426828521778708,0.2766024417924283,0.4426828521778708,0.2766024417924283,19,1,1
Zm00001eb000240,0.14317982905406565,0.1164158355891131,0.04178914811043927,0.2041662131650197,3,0,0
Zm00001eb000250,0.3219280948873623,,0.3219280948873623,,1,0,0
Zm00001eb000300,0.432959407276106,,-0.432959407276106,,1,0,0
Zm00001eb000310,0.570955312636358,0.7304519520337022,-0.570955312636358,0.7304519520337022,2,0,0
Zm00001eb000320,0.6298022595369017,0.5648258593984433,-0.2079243354098782,0.8342708385759071,16,0,0
Zm00001eb000330,0.43902189252831386,0.2956429005996249,-0.2618370145379305,0.46785801757398593,18,0,0
Zm00001eb000340,0.19842295181656464,0.1507220341019614,-0.07225155808843407,0.24185691621987312,22,0,0
Zm00001eb000400,2.272160258111905,2.1710931146348136,-2.272160258111905,2.1710931146348136,2,1,1
Zm00001eb000420,0.20530755066860043,0.2759444128469226,0.07362290701989545,0.3385635322616116,22,0,0
Zm00001eb000440,1.4372345589580704,0.7958705191563732,-1.4372345589580704,0.7958705191563732,2,2,2-4
