gene_id,n_bqtl_tested,n_functional,max_abs_d,mean_abs_d,n_bqtl_in_promoter,total_peaks,disrupted_peaks,mean_n_families,gene_expression
Zm00001eb000230,1,0,2.861535638453155,2.861535638453155,1,3,1,3.0,184.9
Zm00001eb000480,1,0,1.5743247466128596,1.5743247466128596,1,4,1,4.0,4616.0
Zm00001eb000500,1,0,2.525462506359313,2.525462506359313,1,1,1,2.0,69.8
Zm00001eb000510,2,0,0.8895416127408239,0.5848186029717386,3,2,1,3.0,448.7
Zm00001eb000570,1,0,0.8048356046251272,0.8048356046251272,3,3,1,3.0,25.3
Zm00001eb000620,4,0,0.58160799514815,0.49456874865739775,4,1,1,3.0,1490.3
Zm00001eb000650,3,0,1.102183406706878,1.0725943709821877,3,4,1,2.0,33.5
Zm00001eb000670,2,0,1.0823000770801432,0.7676424504054291,2,1,1,3.0,392.5
Zm00001eb000760,3,0,0.2877112207540113,0.18569060678386382,7,3,3,3.0,412.6
Zm00001eb000770,3,0,1.1859209342140398,0.8535844846366323,5,1,1,3.6666666666666665,1920.8
Zm00001eb000800,2,0,0.9113990254045023,0.9113990254045023,5,2,2,4.0,132.8
Zm00001eb000840,1,0,0.7755427640260314,0.7755427640260314,1,2,1,2.0,61.6
Zm00001eb000880,4,0,0.730849147469161,0.385839698152345,8,2,1,3.75,14.5
Zm00001eb000900,1,0,0.4219884904055018,0.4219884904055018,2,1,1,2.0,22.6
Zm00001eb000920,3,1,1.008744758576002,0.41937211041266287,3,3,3,2.0,859.7
Zm00001eb000930,1,0,0.2306900111016987,0.2306900111016987,1,3,0,4.0,186.5
Zm00001eb000960,1,0,0.1880490418307555,0.1880490418307555,1,2,1,3.0,8.9
Zm00001eb000980,1,0,0.2395249914095454,0.2395249914095454,2,2,1,2.0,225.4
Zm00001eb000990,2,0,0.8772733921010344,0.49133074130086385,4,3,2,3.5,16.0
Zm00001eb001020,1,0,0.2878798397857892,0.2878798397857892,1,2,1,2.0,214.9
Zm00001eb001040,3,0,1.9756444659695211,1.2605882179800718,5,2,2,3.6666666666666665,472.7
Zm00001eb001050,2,0,0.4327296562197605,0.2710591327269703,2,3,2,1.5,105.9
Zm00001eb001060,1,0,0.7667298440535991,0.7667298440535991,2,4,2,2.0,62.3
Zm00001eb001070,1,0,0.8009747008964606,0.8009747008964606,4,5,2,3.0,198.2
Zm00001eb001120,1,0,0.493145267218081,0.493145267218081,1,3,2,2.0,359.0
Zm00001eb001130,2,0,0.3006595948932165,0.21444260853442887,2,2,1,4.0,351.1
Zm00001eb001180,2,0,0.5859486381913304,0.3555230572574219,2,3,2,3.0,1882.4
Zm00001eb001270,5,2,3.264191725986402,1.7660203852539447,6,3,1,2.8,160.9
Zm00001eb001280,1,0,0.8049153871570718,0.8049153871570718,1,3,1,1.0,640.1
Zm00001eb001400,1,0,1.5797970465294686,1.5797970465294686,1,1,1,3.0,603.3
Zm00001eb001430,2,0,0.2043307734940859,0.1700592886885366,2,1,1,1.0,162.6
Zm00001eb001460,1,0,2.7360945169348403,2.7360945169348403,1,2,1,1.0,59.5
Zm00001eb001490,1,0,0.1292746053315446,0.1292746053315446,2,3,2,3.0,388.3
Zm00001eb001500,2,0,0.6408007573996326,0.6408007573996326,3,2,2,2.0,18.0
Zm00001eb001510,2,0,0.5299120244535775,0.49876725962326895,3,1,1,0.5,28.5
Zm00001eb001520,2,0,1.7106681660946832,1.7106681660946832,2,4,1,2.5,23.4
Zm00001eb001530,1,0,0.5373778376220218,0.5373778376220218,1,1,1,1.0,382.5
Zm00001eb001570,2,0,1.7751230675254874,1.5408427823455417,2,1,1,3.5,685.2
Zm00001eb001600,2,2,5.43643546425158,3.907727235976095,6,2,2,3.0,50.5
Zm00001eb001650,1,0,0.3839307546395738,0.3839307546395738,1,2,1,5.0,1224.9
Zm00001eb001680,3,0,0.4862546555226647,0.3367615152436196,4,3,2,4.333333333333333,1400.4
Zm00001eb001720,2,0,1.0691868216739155,0.7254410604856398,4,3,1,3.5,178.5
Zm00001eb001820,1,0,0.1007140945249236,0.1007140945249236,5,3,1,5.0,7.5
Zm00001eb001830,2,0,0.9068691844306688,0.6960082362281896,3,2,2,1.0,36.3
Zm00001eb001840,1,0,0.292333867935355,0.292333867935355,1,2,1,4.0,3702.2
Zm00001eb001880,1,0,0.7808271565667273,0.7808271565667273,4,4,4,2.0,262.2
Zm00001eb001950,2,2,1.9009080350840848,1.9009080350840848,5,2,2,3.5,10028.7
Zm00001eb001980,1,0,0.742840313490203,0.742840313490203,3,2,2,1.0,62.3
Zm00001eb002010,3,0,1.0303442297911614,0.5533352699240294,5,2,2,3.0,11.1
Zm00001eb002060,1,1,3.089173372090931,3.089173372090931,1,1,1,2.0,1916.9
Zm00001eb002100,1,0,0.5524788591530085,0.5524788591530085,2,3,1,4.0,276.0
Zm00001eb002170,1,0,0.1518879480939248,0.1518879480939248,1,1,1,7.0,54.7
Zm00001eb002180,2,0,0.3589465953006376,0.2475736937979151,2,4,1,3.0,888.9
Zm00001eb002270,1,0,0.959402118860981,0.959402118860981,1,1,1,1.0,54152.3
Zm00001eb002290,1,0,0.2170234797082468,0.2170234797082468,1,0,0,1.0,8.2
Zm00001eb002320,1,0,1.5053477377165845,1.5053477377165845,2,1,1,2.0,934.4
Zm00001eb002380,1,0,0.7163276556911637,0.7163276556911637,1,1,1,3.0,705.4
Zm00001eb002460,1,0,0.1935974976688064,0.1935974976688064,1,3,1,3.0,213.2
Zm00001eb002470,3,0,0.7134133120640488,0.3930272573291771,5,2,1,3.0,62.8
Zm00001eb002510,5,0,1.244620096605913,0.7831839388153624,8,2,2,2.8,5027.8
Zm00001eb002530,1,0,0.6934217286076074,0.6934217286076074,1,3,1,2.0,352.4
Zm00001eb002560,2,0,1.996889316266754,1.5963543636603634,3,2,1,1.5,566.0
Zm00001eb002570,1,0,0.981468864685844,0.981468864685844,2,1,1,2.0,267.0
Zm00001eb002590,1,0,0.0354467329579377,0.0354467329579377,4,2,2,5.0,10.2
Zm00001eb002610,2,1,2.72557387077551,1.3941847345129754,2,2,0,1.5,211.3
Zm00001eb002620,3,0,1.5180043849196203,0.8665499104869007,5,2,1,2.0,516.0
Zm00001eb002690,1,0,0.0141550349924786,0.0141550349924786,1,3,1,2.0,841.6
Zm00001eb002740,2,0,0.4436671996046835,0.3780726486884811,3,2,2,1.5,156.4
Zm00001eb002840,2,0,0.5586220887797688,0.46143941395669485,4,1,1,2.0,4.2
Zm00001eb002940,1,0,9.595757749116784,9.595757749116784,2,4,1,1.0,237.7
Zm00001eb003130,1,0,0.3785960071259618,0.3785960071259618,2,2,1,2.0,204.6
Zm00001eb003190,2,0,1.1617895854819766,1.092491069863356,3,3,3,1.5,940.4
Zm00001eb003200,5,0,0.7659448457184799,0.6005600543633487,5,3,3,2.4,119.3
Zm00001eb003230,1,0,0.4875051554370231,0.4875051554370231,3,2,1,3.0,401.9
Zm00001eb003420,2,0,1.128943303835624,0.6788626431312565,2,2,1,3.0,167.9
Zm00001eb003440,1,0,0.637922365396493,0.637922365396493,2,2,2,2.0,3285.1
Zm00001eb003460,1,0,0.6861592372553172,0.6861592372553172,1,1,1,3.0,34.2
Zm00001eb003480,2,0,0.2441898023266626,0.2072010810249063,5,2,1,2.0,1455.0
Zm00001eb003490,4,0,0.913638152030089,0.5974816856778956,4,2,2,3.25,1613.8
Zm00001eb003540,2,0,1.007226868097221,0.7990808912362152,2,2,1,1.0,1160.5
Zm00001eb003550,1,0,1.6040322006363512,1.6040322006363512,1,1,1,8.0,129.8
Zm00001eb003730,1,0,0.5720427298258192,0.5720427298258192,4,1,1,3.0,12234.5
Zm00001eb003760,2,0,1.261473397375682,0.7872370771156991,4,4,3,3.0,2063.0
Zm00001eb003810,1,0,0.5449902641336455,0.5449902641336455,1,3,1,4.0,63.9
Zm00001eb003880,1,0,0.3418402465026141,0.3418402465026141,2,1,1,4.0,214.3
Zm00001eb003960,2,0,0.2304916182767043,0.2304595827200549,4,3,2,2.5,10.7
Zm00001eb003970,2,0,1.1618410432914628,1.1223226814514455,3,1,1,2.5,106.0
Zm00001eb004000,2,0,1.0255844171116266,0.9703200106404679,4,1,1,3.0,17.0
Zm00001eb004170,2,0,0.3917533758538518,0.3147776612058284,5,1,1,3.5,279.7
Zm00001eb004180,1,0,0.2786886518350006,0.2786886518350006,1,1,1,2.0,142.2
Zm00001eb004310,2,0,0.5891818860662248,0.4405875192157046,4,3,3,1.5,320.1
Zm00001eb004320,1,0,0.8085786396939366,0.8085786396939366,2,1,1,1.0,234.8
Zm00001eb004380,2,0,1.2014857986751442,0.8667278991300807,3,1,1,3.5,5.0
Zm00001eb004420,2,0,0.733067616064145,0.5357166855985829,2,2,1,5.0,4180.7
Zm00001eb004430,1,0,1.2473677325648638,1.2473677325648638,1,2,1,4.0,42.7
Zm00001eb004480,2,0,0.313867503878491,0.17584988192452383,2,3,1,4.0,65.1
Zm00001eb004490,2,0,1.359192257880409,0.883405041194394,4,2,1,2.0,636.9
Zm00001eb004500,1,0,0.329831778455314,0.329831778455314,1,1,1,6.0,532.7
Zm00001eb004510,1,0,0.0815691148491069,0.0815691148491069,2,2,1,0.0,6.2
Zm00001eb004540,3,0,2.5763462062442786,1.1695288258108885,5,4,3,1.6666666666666667,62.2
Zm00001eb004550,1,0,0.6802426839005529,0.6802426839005529,1,2,0,3.0,1893.3
Zm00001eb004560,2,0,0.2472601492009362,0.204580400826891,2,2,1,1.5,30.5
Zm00001eb004630,1,0,2.0442101466739815,2.0442101466739815,1,1,0,2.0,2602.1
Zm00001eb005020,2,0,2.121069958825472,1.0694232997290658,2,2,2,3.5,1009.3
Zm00001eb005110,2,0,0.8045389546733273,0.8045389546733273,3,3,2,2.0,20.6
Zm00001eb005380,1,0,0.4758660592577451,0.4758660592577451,2,1,1,2.0,2058.8
Zm00001eb005390,1,0,0.5721673725704421,0.5721673725704421,4,1,1,2.0,229.0
Zm00001eb005460,1,0,0.4033560393021341,0.4033560393021341,2,1,1,4.0,13152.9
Zm00001eb005550,1,0,0.9245515063731602,0.9245515063731602,3,2,1,4.0,938.9
Zm00001eb005570,2,1,2.482695595894413,1.6453158265852128,5,4,3,4.0,77.3
Zm00001eb005630,1,0,0.6449309868590782,0.6449309868590782,1,1,1,0.0,224.0
