gene_id,n_families,n_bqtl,mean_redundancy,max_redundancy,abs_log2_ase
Zm00001eb000230,9,1,7.0,18,0.4426828521778708
Zm00001eb000400,5,1,6.6,16,2.272160258111905
Zm00001eb000440,7,2,7.875,16,1.4372345589580704
Zm00001eb000450,14,7,8.533333333333333,25,0.4407388873118929
Zm00001eb000470,7,2,6.5,13,1.064563611705092
Zm00001eb000480,6,1,11.166666666666666,21,0.1978717239964643
Zm00001eb000500,5,1,7.2,18,1.2908197857629533
Zm00001eb000510,10,3,5.176470588235294,16,0.1978190217072277
Zm00001eb000570,11,3,8.705882352941176,29,0.576614453032858
Zm00001eb000620,12,4,12.37037037037037,37,0.1349637308646764
Zm00001eb000650,10,3,7.866666666666666,21,0.5860600073570761
Zm00001eb000670,5,2,12.0,25,1.1136865249716534
Zm00001eb000680,11,4,9.176470588235293,46,0.7113517811378156
Zm00001eb000700,9,1,8.444444444444445,28,0.1380389177650996
Zm00001eb000720,6,1,7.833333333333333,21,0.7527456435510058
Zm00001eb000740,6,1,7.0,10,0.3153871899070983
Zm00001eb000760,16,7,7.27027027027027,27,0.2536697411872334
Zm00001eb000770,11,5,10.52,32,0.316146215806699
Zm00001eb000800,17,5,8.8,29,0.2503845658639104
Zm00001eb000840,5,1,11.6,27,0.750192209485176
Zm00001eb000850,7,1,7.857142857142857,24,0.5080180422526216
Zm00001eb000860,5,1,9.8,16,0.2597219229586762
Zm00001eb000880,15,8,13.55,77,0.6433293148933175
Zm00001eb000900,6,2,26.833333333333332,141,0.4333028794733982
Zm00001eb000910,3,1,4.0,6,0.6323088235914869
Zm00001eb000920,12,3,11.166666666666666,27,0.2700363072662574
Zm00001eb000930,2,1,5.5,7,0.94046638673079
Zm00001eb000960,5,1,15.4,45,0.6218188666630894
Zm00001eb000980,9,2,7.583333333333333,28,0.3646786152453956
Zm00001eb000990,16,4,15.714285714285714,212,0.5116381172531907
Zm00001eb001000,6,2,12.428571428571429,32,0.1760114164778748
Zm00001eb001010,5,1,8.2,16,0.5112381923724449
Zm00001eb001020,4,1,11.75,18,0.4537871575502946
Zm00001eb001040,12,5,11.857142857142858,39,0.2467060782468514
Zm00001eb001050,8,2,7.888888888888889,17,0.716661202255204
Zm00001eb001060,9,2,9.75,18,1.3597006949035677
Zm00001eb001070,13,4,10.241379310344827,26,0.2691507467676041
Zm00001eb001110,4,1,4.75,8,0.2586636471121223
Zm00001eb001120,3,1,6.333333333333333,9,0.1928027856368538
Zm00001eb001130,12,2,8.647058823529411,20,0.2643947409289434
Zm00001eb001180,13,2,7.466666666666667,17,2.4223823962148363
Zm00001eb001270,14,6,8.592592592592593,62,0.4195634998041642
Zm00001eb001280,4,1,12.75,22,0.6305858274844163
Zm00001eb001290,3,1,11.0,17,0.3135986282193314
Zm00001eb001350,10,2,13.0,63,0.7697278430128671
Zm00001eb001360,4,1,3.5,8,0.5964134364665677
Zm00001eb001400,5,1,10.6,20,0.1431935469241601
Zm00001eb001430,4,2,7.571428571428571,11,0.1834233646252035
Zm00001eb001460,3,1,7.666666666666667,10,0.7432537167002196
Zm00001eb001470,4,1,10.25,17,0.8428071237954106
Zm00001eb001490,7,2,8.75,19,0.63840514011792
Zm00001eb001500,12,3,5.8,20,1.9574176965395047
Zm00001eb001510,11,3,5.615384615384615,11,0.6239666701256044
Zm00001eb001520,10,2,6.636363636363637,14,1.2191468001604615
Zm00001eb001530,3,1,11.333333333333334,21,1.437275352050719
Zm00001eb001570,9,2,11.333333333333334,63,0.39296107893396
Zm00001eb001590,4,1,21.25,37,0.7594372875938836
Zm00001eb001600,13,6,8.8,38,0.6341793064538735
Zm00001eb001640,3,1,8.333333333333334,11,0.2515049526723988
Zm00001eb001650,6,1,19.166666666666668,67,0.1735895806179812
Zm00001eb001680,15,4,7.083333333333333,17,0.3073055196615811
Zm00001eb001690,15,3,6.045454545454546,18,0.0
Zm00001eb001700,15,3,6.045454545454546,18,0.7149368687917177
Zm00001eb001710,4,1,17.75,25,0.2668535345365788
Zm00001eb001720,12,4,10.318181818181818,37,0.3100297128357629
Zm00001eb001810,4,1,12.25,32,0.9005067101265379
Zm00001eb001820,14,5,8.258064516129032,23,2.3588212522757694
Zm00001eb001830,9,3,6.833333333333333,15,1.0033749067322242
Zm00001eb001840,6,1,7.333333333333333,19,0.2114002190279094
Zm00001eb001860,7,1,7.0,27,0.2250282378966639
Zm00001eb001880,13,4,8.0,17,0.3531285956136831
Zm00001eb001920,5,1,9.8,21,1.061087744900388
Zm00001eb001950,14,5,10.392857142857142,36,0.3473060310158732
Zm00001eb001960,14,7,11.5625,41,5.352279002000969
Zm00001eb001970,11,3,12.466666666666667,43,0.4007751167765972
