tf_family,n_pairs,mean_abs_d,median_abs_d,sig_rate_fdr,sig_rate_nom,mean_abs_ase_diff,mean_redundancy,category
HSF,190,1.0894921993214013,0.7870734332693692,0.09473684210526316,0.2631578947368421,0.16865009704923897,1.7842105263157895,cis-conserved
Trihelix,1267,1.025141536956663,0.723407337384531,0.07734806629834254,0.2644041041831097,0.13798015493930213,7.025256511444357,cis-variable
LFY,59,0.9992847616474532,0.7337680784024239,0.1016949152542373,0.23728813559322035,0.17203201566144258,0.1016949152542373,unclassified
ARR-B,269,0.998922553767212,0.7154560664669831,0.08921933085501858,0.26022304832713755,0.08569128997533539,1.7732342007434945,unclassified
E2F/DP,10,0.9910273412713495,1.055691766489572,0.1,0.4,0.1331515001459999,0.0,cis-variable
CPP,725,0.984423164486578,0.7284226538401244,0.0703448275862069,0.2593103448275862,0.10044891737725418,7.714482758620689,cis-conserved
bHLH,830,0.9762233801415787,0.7014160658357635,0.0783132530120482,0.2469879518072289,0.12702358894300605,11.581927710843374,cis-variable
WOX,484,0.9677461641786884,0.7026896882070547,0.07644628099173553,0.2396694214876033,0.12410858077245997,5.095041322314049,cis-conserved
CAMTA,427,0.9609070027201451,0.6581413874103827,0.08665105386416862,0.23185011709601874,0.12365734945657128,2.2388758782201403,cis-variable
MIKC_MADS,1618,0.9597288389446607,0.6899881919570796,0.069221260815822,0.23856613102595797,0.1026422655108632,10.88071693448702,cis-conserved
HD-ZIP,760,0.9593923426619405,0.7064308683789606,0.06973684210526315,0.22763157894736843,0.10816161874752189,8.025,cis-conserved
GATA,485,0.9572955393015243,0.6840597829150535,0.07010309278350516,0.24742268041237114,0.10544252094006318,4.175257731958763,cis-conserved
Dof,1335,0.9565505198816183,0.7094426306381438,0.07790262172284644,0.24569288389513108,0.0888083650236825,15.785767790262172,cis-conserved
MYB,2826,0.9553066308630365,0.6897127781837143,0.07218683651804671,0.24593064401981599,0.08986416375304711,19.897027600849256,cis-variable
YABBY,140,0.9505981209388276,0.6280217007391742,0.05714285714285714,0.20714285714285716,0.09864179361111414,1.4214285714285715,cis-conserved
BES1,189,0.945671152055646,0.6416933852076816,0.09523809523809523,0.24338624338624337,0.11904718618090518,1.7142857142857142,cis-variable
M-type_MADS,456,0.9441091704802674,0.7125790796124014,0.08333333333333333,0.2236842105263158,0.09734007004424691,2.2850877192982457,cis-conserved
MYB_related,1436,0.9387599523487328,0.6649377117944911,0.07381615598885793,0.22493036211699163,0.0995042389057675,10.034818941504179,unclassified
RAV,124,0.9320054988901031,0.6015234340690516,0.04838709677419355,0.22580645161290322,0.09818892425632184,0.47580645161290325,unclassified
G2-like,1255,0.9306943527219705,0.6408825447966706,0.07250996015936255,0.23266932270916335,0.0892654604782276,10.922709163346614,cis-variable
EIL,534,0.92693112809248,0.6561202067750893,0.06179775280898876,0.21910112359550563,0.11841051503376075,2.252808988764045,unclassified
Nin-like,463,0.924411491850683,0.6609967786015822,0.047516198704103674,0.2224622030237581,0.1385539193954455,1.7624190064794816,cis-variable
bZIP,810,0.9229986691731255,0.6479780754635536,0.0654320987654321,0.2222222222222222,0.121679569490085,5.811111111111111,cis-variable
C2H2,2528,0.9226016623588258,0.6550504143869076,0.06922468354430379,0.23022151898734178,0.09964114951460824,14.330696202531646,cis-variable
WRKY,759,0.9209013792729909,0.6809738742087506,0.06455862977602109,0.23583662714097497,0.12957490839997915,10.326745718050066,unclassified
SBP,867,0.9192175444685328,0.66402353629843,0.0726643598615917,0.2364475201845444,0.12218098278954086,11.341407151095732,cis-variable
NAC,2105,0.9154922496339207,0.6693961016984011,0.0669833729216152,0.24133016627078385,0.12520224632336474,11.59002375296912,cis-variable
ARF,794,0.9125795377874313,0.6152223926722786,0.0654911838790932,0.2380352644836272,0.08403870656234304,4.162468513853904,cis-variable
TALE,1642,0.9070245672753163,0.6606577542278669,0.05968331303288672,0.21985383678440926,0.09549171258698413,9.15590742996346,cis-conserved
GRAS,1270,0.9057577759706498,0.6550504143869076,0.06299212598425197,0.22598425196850394,0.0820283491758238,6.4992125984251965,cis-conserved
LBD,1030,0.905518798074161,0.6435483517725453,0.062135922330097085,0.22233009708737864,0.08915009845246367,7.947572815533981,cis-variable
BBR-BPC,107,0.8952880489220642,0.6874152031244196,0.04672897196261682,0.22429906542056074,0.07041260963263693,5.644859813084112,cis-variable
TCP,739,0.8819390942987029,0.6340123073447509,0.07036535859269283,0.21515561569688768,0.08425531270534062,9.343707713125847,cis-variable
AP2,175,0.8798108750986519,0.6128682374080782,0.045714285714285714,0.2057142857142857,0.048452935217213854,0.44,cis-conserved
ERF,2249,0.8739774388057309,0.6229049648987606,0.061805246776345045,0.22321031569586483,0.0899828080564963,42.01823032458871,cis-variable
B3,407,0.8534116613319331,0.6316191766457516,0.051597051597051594,0.2113022113022113,0.1333651497631013,3.842751842751843,cis-variable
