family,n,pct_sole,rho,p,direction
ARF,9154,7.778020537469959,0.035641822185746054,0.000647953723057447,Sensitive
C2H2,18088,0.35382574082264484,-0.01342504491946924,0.07099447052827346,Buffered
Dof,13566,1.5627303553000147,-0.04800243421049557,2.2227434463042542e-08,Buffered
ERF,14465,2.2260629104735568,0.02376055743317786,0.004265202600897991,Sensitive
G2-like,12207,2.5231424592446956,-0.01101172633529655,0.22377695976051606,Buffered
GATA,4274,13.26626111371081,-0.00632724812343064,0.6792166748699174,Buffered
HD-ZIP,8672,6.422970479704797,-0.021679931603816753,0.04350188271732848,Buffered
HSF,1446,31.881051175656985,0.017330320217791004,0.5102248542548167,Sensitive
LBD,5718,9.863588667366212,0.011902494821554564,0.36818863651637995,Sensitive
MIKC_MADS,9097,3.3747389249203033,-0.01780113112023305,0.08955666621169363,Buffered
MYB,17803,0.264000449362467,-0.04890001796951041,6.662122715855723e-11,Buffered
MYB_related,15872,1.0017641129032258,-0.05327108580170311,1.8735694264884106e-11,Buffered
NAC,13454,1.739259699717556,0.0330958382738897,0.00012327158478088243,Sensitive
SBP,8501,3.740736383954829,0.06277959469489804,6.905914431220162e-09,Sensitive
TCP,6688,9.973086124401913,-0.00659712733668492,0.5895975167877956,Buffered
WRKY,7639,8.260243487367456,0.007947102422969261,0.4873781283283167,Sensitive
bHLH,7925,7.419558359621451,0.042629659219811294,0.0001469757122234636,Sensitive
bZIP,7832,11.529622063329928,0.03345379680554891,0.003066718701086606,Sensitive
