tf_family,ww_expr,ds_expr,expr_log2fc,d_change,ww_abs_d,ds_abs_d,sig_change
ERF,222.15084745762712,317.3050847457627,0.5123909178966113,-0.0264133537493294,0.8683264344696595,0.8419130807203301,-0.0132748809556326
NAC,33.4,1307.7666666666667,5.249655534316135,-0.0314899545778754,0.9131552327933804,0.8816652782155049,-0.0230905195861634
G2-like,987.825,539.25,-0.8720880516025709,-0.0336497054115969,0.9358695535439634,0.9022198481323664,-0.0221013554346887
WRKY,122.86799999999998,147.966,0.2661795570773847,-0.0357281773404442,0.91244706679539,0.8767188894549459,-0.0135530495552731
bHLH,26.450000000000003,51.5,0.9355112735482862,-0.0373417036370736,0.9663566655705584,0.9290149619334848,-0.0242723431038782
bZIP,269.42083333333335,534.8458333333333,0.9866116850052582,-0.0401316735793905,0.9121177958414058,0.8719861222620153,-0.0189739338675508
MIKC_MADS,109.25945945945946,143.14594594594593,0.3866278282814778,-0.0515628817681681,0.9511858557015138,0.8996229739333457,-0.0185531283441134
MYB,119.23666666666666,121.76333333333334,0.03000280530855757,-0.0516192847007946,0.9541660936197596,0.902546808918965,-0.0151974198820578
MYB_related,119.23666666666666,121.76333333333334,0.03000280530855757,-0.0587539432141508,0.9363150763467468,0.8775611331325959,-0.0260193047313638
Trihelix,79.59655172413792,136.76206896551722,0.7733886946466858,-0.0759166123828235,1.022929589889265,0.9470129775064414,-0.0236588221519728
HSF,287.51599999999996,407.95200000000006,0.5032801919185362,-0.0872105358072712,1.0683414277400427,0.9811308919327716,-0.0456937285223367
GATA,255.62399999999997,253.016,-0.014736727957502579,-0.1201562858956515,0.9595001426225974,0.8393438567269459,-0.0305396536443986
