family,n_genes,mean_ww_expr,mean_drought_fc,n_drought_up,n_drought_down,mean_hybrid_cv
NAC,3,33.4,3.9966666666666666,3,0,0.7836981153006923
HSF,25,287.51599999999996,1.1543199999999998,12,2,0.6718827684131563
ERF,118,222.15084745762712,0.9374067796610168,55,5,0.516406441938991
bZIP,24,269.42083333333335,0.8542916666666667,9,2,0.5025198728300164
MYB,60,119.23666666666666,0.38796666666666657,19,6,0.5949704427059076
Trihelix,29,79.59655172413792,0.3821379310344828,6,3,0.5023545725497154
WRKY,100,122.86799999999998,0.08520999999999997,19,19,0.6838550477254746
MADS,37,109.25945945945946,0.06027027027027028,3,2,0.6104912310160813
GATA,25,255.62399999999997,-0.04676000000000003,6,4,0.4918183295485337
G2-like,4,987.825,-0.34700000000000003,0,1,0.3977192539387561
