tf_family,n_total,n_disrupted,n_intact,mean_ase_disrupted,mean_ase_intact,ase_diff,mw_p,beta_disrupted,beta_tf_expr,beta_interaction,se_interaction,t_interaction,p_interaction,spearman_rho,spearman_p,ase_tf_low,ase_tf_high,fdr_mw_p,fdr_p_interaction,fdr_spearman_p
LBD,27265,9695,17570,0.7083276408086883,0.6090976507887295,0.0992299900199588,5.049449646002573e-23,0.09911487327520488,0.0019598379022520845,-0.022646991416823473,0.011089585139755963,-2.0421856301580137,0.04114272329821745,-0.01424077846793649,0.16089052768685957,0.41696303655722367,0.4025363623514697,1.0487318495543806e-22,0.758672672036053,0.6969397315143662
C2H2,66847,23954,42893,0.7119422582805732,0.6241189408373943,0.08782331744317895,9.608055374769648e-55,0.08776624815191052,0.006130113133313353,-0.013913596946459486,0.007286397056634157,-1.9095304357304221,0.0561979757063743,-0.0072353538842051136,0.2628084982353297,0.4137039342100285,0.4026324783880631,1.2970874755939025e-53,0.758672672036053,0.6969397315143662
TCP,19987,7194,12793,0.7177020454572627,0.6577853824244607,0.059916663032801964,1.520571352529609e-12,0.05991801448140845,0.0072379841910714315,-0.020875413017620633,0.013852620347004468,-1.5069649275513997,0.13183545478986133,-0.010918674206017324,0.3544663593012572,0.4246377235158394,0.41091514966106485,2.415025089311732e-12,0.8836594131083376,0.6969397315143662
BES1,4874,1913,2961,0.7811785229359263,0.658743408220496,0.12243511471543023,9.404386235669542e-05,0.12244856768192883,0.020394402582608773,-0.03929413423845135,0.026994101840091062,-1.4556562937794264,0.14555211557315406,0.020952455584769773,0.35971041583348223,0.4231719270200224,0.4453735776498027,0.00010156737134523105,0.8836594131083376,0.6969397315143662
G2-like,32453,12042,20411,0.6634945797400831,0.5944552178186457,0.06903936192143734,1.728635900631372e-32,0.06904745465645347,-0.006145000854733237,0.01448515555140762,0.010398811255542425,1.3929626373098396,0.16364063205709956,0.012028629860096014,0.18687341242637281,0.3632719585690644,0.3765106589372791,6.667595616721006e-32,0.8836594131083376,0.6969397315143662
Nin-like,12001,4385,7616,0.7458028116049265,0.6623589837784387,0.08344382782648774,6.103997623900258e-07,0.08356575889048844,-0.01770254844094007,0.019948622057830944,0.017529882538642114,1.137978079080511,0.25515236113180856,-0.006303645165349795,0.6764529083657036,0.4059923596758368,0.3864437275027091,7.165562428056825e-07,0.9211201228891652,0.8767079411959331
GATA,12455,4601,7854,0.7209853291480648,0.6339607917616472,0.08702453738641758,5.844444410666674e-10,0.08695485705948386,-0.007831528394622655,0.019596622212156026,0.017728981927930428,1.1053439104296958,0.26903195582415945,0.0024368768479844953,0.8687469557718599,0.42006927118753623,0.41075334599932956,7.889999954400011e-10,0.9211201228891652,0.9683938709060518
YABBY,3371,1320,2051,0.7223705196323226,0.6014162655241857,0.12095425410813687,2.045981127827382e-09,0.12091610236910759,0.018758132623355038,-0.028203972970044663,0.03205760918749295,-0.8797902802136675,0.3790357180448154,-0.019065723502678825,0.48887528824686755,0.4459696490504525,0.4421418714762891,2.630547164349491e-09,0.9211201228891652,0.8249770489165891
SBP,22741,8167,14574,0.7162105576315191,0.6200389908275948,0.09617156680392425,7.023645987854907e-23,0.0961699615601665,0.006205902876670862,-0.010099065469999873,0.012126731130853398,-0.832793715060224,0.40496982726044767,-0.02227568776872151,0.04411168872205649,0.4253397892865828,0.4021396792694123,1.354560297657732e-22,0.9211201228891652,0.558020917961281
Dof,35720,13097,22623,0.6564859412521116,0.5812779209908816,0.07520802026122997,1.332331473075143e-34,0.07522225464642492,-0.0023453933726469743,0.007323081900052132,0.009047699774650655,0.8093860409216427,0.41829852086179226,0.0025120444062238663,0.7737626406673311,0.3942450694534919,0.3911009850668204,5.995491628838144e-34,0.9211201228891652,0.9496177862735428
WOX,13644,5058,8586,0.6938874042018339,0.6088751075612653,0.08501229664056864,9.455078393345319e-14,0.08489580298861034,0.005927722453075793,0.013017530280242167,0.016297335276808017,0.798752069534141,0.4244480952203137,0.016883254665125837,0.22993768308319854,0.379287474329642,0.4017727757698834,1.5955444788770227e-13,0.9211201228891652,0.6969397315143662
NAC,55575,19539,36036,0.7102682141379127,0.6254554846416935,0.08481272949621921,1.487004524546051e-48,0.0848357948202559,-0.0015062806753837784,-0.005484406639462203,0.008093703412609787,-0.6776139870553737,0.4980192963541686,-0.007603605158656897,0.287875246794203,0.4124543382648413,0.4099842715525586,1.3383040720914458e-47,0.9211201228891652,0.6969397315143662
HSF,4620,1712,2908,0.7538895115468707,0.674024851543126,0.0798646600037447,0.1776773802176262,0.0798725074854974,-0.007175685322449375,0.02112674222706855,0.034763408993582746,0.607729300396532,0.5433969229085548,0.012080062215856866,0.6174400777810294,0.3400754415976217,0.3716976705476956,0.1776773802176262,0.9211201228891652,0.8767079411959331
MYB,75683,27433,48250,0.6836883842329081,0.6071891376306215,0.07649924660228657,5.554130778978366e-56,0.07650118656793999,-0.0032927555873354542,0.004081354489793937,0.006742065170339488,0.6053567247835466,0.5449438136889191,0.005203781975289546,0.38876219320844435,0.3899465183160133,0.3971638605169404,1.499615310324159e-54,0.9211201228891652,0.6997719477751998
ARF,21128,7657,13471,0.6784064455931206,0.6276074880958711,0.0507989574972495,1.6741034467810952e-06,0.05078554273427289,0.003209176798971246,0.007779221102854821,0.012879765181771412,0.6039878051398535,0.5458582359907037,0.021328915860579032,0.062002324217920096,0.3625700793847083,0.3981572563530838,1.8833663776287322e-06,0.9211201228891652,0.558020917961281
CAMTA,11493,3919,7574,0.7654441244009712,0.6483583174659164,0.11708580693505477,7.174036900050113e-12,0.1166809967342141,0.01189817268484992,0.01139109650248442,0.019104775184191156,0.5962434204360771,0.5510243694406272,0.02220494851267157,0.16458954445238672,0.4149653591162721,0.46638631843696504,1.076105535007517e-11,0.9211201228891652,0.6969397315143662
MIKC_MADS,42117,15305,26812,0.6839775048688281,0.6118299284766555,0.07214757639217262,4.9879451453843544e-27,0.07213248009548427,0.0013834313632197547,0.005042319652166565,0.009110855824798977,0.553440834662513,0.5799645218191041,0.016354506639122867,0.04304827381794996,0.3811382217901068,0.3990556403945677,1.3467451892537757e-26,0.9211201228891652,0.558020917961281
E2F/DP,173,49,124,0.6723018978436947,0.5255138789341889,0.14678801890950577,0.023700898727203542,0.13839396184730499,-0.015965566141109624,-0.0551905417468187,0.1348489182977352,-0.4092768591955819,0.6828547293026495,-0.019044316469519214,0.8966609915796776,0.5716291077081865,0.4733708095951709,0.02461247175517291,0.9360668277410091,0.9683938709060518
TALE,42594,15042,27552,0.7289312584506513,0.641015824258019,0.08791543419263237,1.3795849453289077e-28,0.08788059159346101,-0.0021367456796232607,-0.0036774803412650122,0.009004814527190347,-0.4083904593660129,0.6829890898256121,-0.0033423605134609412,0.6818839542635036,0.42153877410322904,0.4322838091326209,4.1387548359867235e-28,0.9360668277410091,0.8767079411959331
bHLH,21624,7697,13927,0.730137626843481,0.6338009774398653,0.09633664940361575,2.0626060221805195e-29,0.09641431066850716,0.00013631250837069914,0.0035654947907108113,0.012993594488308198,0.27440403761400195,0.7837767622344918,0.01784628768956296,0.11744916066132056,0.4140974490462689,0.43329728531790423,6.961295324859254e-29,0.9360668277410091,0.6969397315143662
Trihelix,35219,12570,22649,0.6893762076410843,0.592098477400216,0.09727773024086828,1.1583232409576013e-39,0.09725218122836407,-0.004329384167559537,0.002804159694693696,0.01023162963553388,0.27406774820650326,0.7840341659108843,4.9668833242117434e-05,0.9955573078245731,0.3976458128405217,0.3892744032137621,6.254945501171047e-39,0.9360668277410091,0.9955573078245731
WRKY,19601,7079,12522,0.6929796210158865,0.6175206458520357,0.0754589751638508,6.236637235672922e-20,0.07533935334525393,0.0014022506029407295,0.0032295492583506837,0.013746646026909226,0.2349336159546701,0.8142627124840207,0.01153705031739454,0.33177176757060906,0.3959975912869611,0.4033556942312084,1.1225947024211258e-19,0.9360668277410091,0.6969397315143662
HD-ZIP,12808,4734,8074,0.6581797588782815,0.6258527617481237,0.03232699713015785,2.343026783197479e-09,0.03233090678957299,0.0007465505714014513,-0.00380103060436003,0.017911524294619546,-0.21221145346640452,0.8319454495826855,-0.00031659674730455503,0.9826255279081558,0.37220837529284145,0.37717433701739234,2.8755328702878155e-09,0.9360668277410091,0.9955573078245731
GRAS,32783,11983,20800,0.6727585562558683,0.607679247562067,0.0650793086938013,9.131304722489037e-26,0.06516869112186,-0.004922379755997496,0.0012340322650783852,0.00972755798386687,0.12685940984623525,0.899052451376803,0.008338825873666727,0.36137615708152315,0.3891356358360868,0.40240247508455573,2.0545435625600332e-25,0.9360668277410091,0.6969397315143662
ERF,60617,21021,39596,0.7221181411536072,0.642051429495164,0.08006671165844315,1.7235585943722186e-43,0.08007514265558048,-0.0014011822392903325,0.0009142825674579345,0.007727522383465657,0.11831509791730876,0.9058183870741826,0.0014842152864164618,0.8296284914952899,0.4183836535066192,0.4268146670551974,1.1634020512012475e-42,0.9360668277410091,0.9683938709060518
bZIP,21856,7521,14335,0.7468561354786878,0.6495951885023646,0.09726094697632315,1.0078896322540097e-26,0.09722788509053824,0.003424742416177023,0.001346490691917554,0.013281030663883819,0.10138450290452043,0.9192461681538503,-0.007278765025280609,0.5279458068901136,0.4485900589898704,0.4117219968377528,2.4739109155325693e-26,0.9360668277410091,0.8385021638842981
CPP,21248,7497,13751,0.6476389624571943,0.5870219101636458,0.06061705229354852,1.332369098728323e-11,0.06066282307619991,-0.0015346038760319898,-0.0010181474611913725,0.012692694109496094,-0.08021523660840775,0.9360668277410091,0.004887450380551959,0.6722128761058329,0.3715398719113318,0.3721631495587301,1.8933666139823537e-11,0.9360668277410091,0.8767079411959331
