tf_family,ww_n,ds_n,ww_abs_d,ds_abs_d,d_change,ww_sig_rate,ds_sig_rate,sig_change
BBR-BPC,111,112,0.869288549276951,0.9766715500850295,0.1073830008080785,0.07207207207207207,0.03571428571428571,-0.03635778635778636
SBP,892,906,0.9110677460337295,0.9267610184925656,0.015693272458836116,0.06950672645739911,0.056291390728476824,-0.013215335728922285
ARF,822,835,0.9185153201809788,0.9146266617736717,-0.0038886584073071218,0.06569343065693431,0.055089820359281436,-0.010603610297652874
TCP,763,789,0.8793771897284268,0.8739102621836615,-0.005466927544765299,0.07077326343381389,0.051964512040557666,-0.018808751393256225
LFY,60,59,0.98867800845356,0.977423476462229,-0.011254531991330974,0.08333333333333333,0.06779661016949153,-0.015536723163841804
TALE,1689,1714,0.8985118811930491,0.8859522890204432,-0.012559592172605938,0.05920663114268798,0.05484247374562427,-0.004364157397063709
BES1,199,202,0.9492621383764418,0.9364528361527943,-0.012809302223647512,0.10050251256281408,0.04455445544554455,-0.05594805711726952
AP2,179,185,0.883250648311267,0.8625238962718944,-0.020726752039372576,0.0446927374301676,0.032432432432432434,-0.012260304997735165
EIL,551,560,0.9068694777521773,0.8857688779299768,-0.021100599822200472,0.06896551724137931,0.05892857142857143,-0.010036945812807882
B3,421,429,0.856898863043693,0.8313011233501255,-0.02559773969356749,0.05938242280285035,0.03263403263403263,-0.02674839016881772
ERF,2325,2362,0.8683264344696595,0.8419130807203301,-0.026413353749329405,0.06365591397849463,0.05038103302286198,-0.013274880955632645
Dof,1368,1399,0.953824930923472,0.9248585018140225,-0.028966429109449465,0.07529239766081872,0.06075768406004289,-0.01453471360077583
GRAS,1314,1326,0.9079788624142454,0.8788960297645482,-0.029082832649697243,0.06316590563165905,0.04675716440422323,-0.016408741227435825
NAC,2168,2191,0.9131552327933803,0.8816652782155049,-0.0314899545778754,0.06918819188191883,0.046097672295755364,-0.023090519586163462
G2-like,1287,1296,0.9358695535439634,0.9022198481323664,-0.03364970541159695,0.07148407148407149,0.04938271604938271,-0.022101355434688774
WRKY,787,800,0.9124470667953901,0.8767188894549459,-0.0357281773404442,0.06480304955527319,0.05125,-0.013553049555273193
bHLH,859,873,0.9663566655705583,0.9290149619334847,-0.037341703637073675,0.08498253783469151,0.06071019473081329,-0.02427234310387822
C2H2,2599,2618,0.919882126402244,0.8806302014437596,-0.0392519249584844,0.06964217006540978,0.05003819709702063,-0.01960397296838915
bZIP,846,847,0.9121177958414058,0.8719861222620153,-0.040131673579390514,0.07092198581560284,0.05194805194805195,-0.01897393386755089
WOX,501,511,0.9789234764650565,0.9385112877492771,-0.04041218871577945,0.07984031936127745,0.0547945205479452,-0.025045798813332243
LBD,1059,1078,0.89294927113811,0.8463244574381563,-0.04662481369995364,0.06232294617563739,0.05287569573283859,-0.009447250442798802
YABBY,144,144,0.9647247643295948,0.9171985070482014,-0.04752625728139337,0.0625,0.06944444444444445,0.0069444444444444475
CPP,749,764,0.9872718633593403,0.9375573411345399,-0.04971452222480033,0.06942590120160214,0.061518324607329845,-0.00790757659427229
MIKC_MADS,1677,1699,0.9511858557015138,0.8996229739333457,-0.051562881768168145,0.0691711389385808,0.050618010594467334,-0.01855312834411347
MYB,2909,2948,0.9541660936197597,0.902546808918965,-0.05161928470079469,0.0718459951873496,0.05664857530529172,-0.015197419882057882
HD-ZIP,779,793,0.9497163790578287,0.8962579931491461,-0.05345838590868257,0.07188703465982028,0.04665825977301387,-0.025228774886806415
M-type_MADS,471,484,0.9250161732525046,0.8683451178994954,-0.0566710553530092,0.08067940552016985,0.05578512396694215,-0.024894281553227697
MYB_related,1484,1518,0.9363150763467467,0.8775611331325959,-0.05875394321415084,0.07345013477088949,0.04743083003952569,-0.026019304731363803
CAMTA,443,453,0.9769722728184007,0.9156298465105258,-0.0613424263078749,0.09029345372460497,0.059602649006622516,-0.030690804717982453
ARR-B,279,284,1.0078495108697734,0.9459646322371208,-0.061884878632652573,0.08960573476702509,0.04225352112676056,-0.047352213640264526
Nin-like,479,488,0.9186238920692172,0.8458017760193952,-0.07282211604982203,0.05010438413361169,0.0471311475409836,-0.0029732365926280896
Trihelix,1300,1314,1.022929589889265,0.9470129775064414,-0.07591661238282355,0.07769230769230769,0.05403348554033485,-0.023658822151972833
HSF,194,192,1.0683414277400427,0.9811308919327715,-0.08721053580727123,0.1134020618556701,0.06770833333333333,-0.045693728522336774
GATA,498,503,0.9595001426225974,0.8393438567269459,-0.12015628589565153,0.07228915662650602,0.041749502982107355,-0.030539653644398666
RAV,132,134,0.9678032822476629,0.7721610290385721,-0.1956422532090908,0.06060606060606061,0.04477611940298507,-0.015829941203075536
