gene_id,func_category,enzyme_types,is_committed,is_reversible,is_enzyme,abs_d,description
Zm00001eb284450,Unknown,ubiquitin|ligase,True,False,True,1.6809466919998697,xp_006655126.2 e3 ubiquitin-protein ligase sinat5 [oryza brachyantha] e3 ubiquitin-protein ligase that mediates ubiquitination and subsequent proteasomal degradation of target proteins. e3 ubiquitin l
Zm00001eb071290,Unknown,none,False,False,False,2.1910098163731746,xp_021318518.1 uncharacterized protein loc8072313 isoform x1 [sorghum bicolor] yt521-b-like domain
Zm00001eb213050,Unknown,none,False,False,False,2.251004547954921,xp_004981444.1 uncharacterized protein loc101773895 [setaria italica] nan
Zm00001eb363730,Unknown,none,False,False,False,2.819579796012812,xp_002459025.1 long chain base biosynthesis protein 2d [sorghum bicolor] c-palmitoyltransferase activity
Zm00001eb323570,Unknown,none,False,False,False,2.326173244124276,"xp_002462979.2 peptide chain release factor prfb1, chloroplastic [sorghum bicolor] pcrf"
Zm00001eb370490,Unknown,none,False,False,False,5.369328196090953,xp_021311575.1 probable protein abil5 isoform x2 [sorghum bicolor] protein abil5 isoform x1
Zm00001eb117470,Unknown,none,False,False,False,1.933356301671669,xp_002461478.1 uncharacterized protein loc8086421 [sorghum bicolor] nan
Zm00001eb358310,Unknown,none,False,False,False,4.062382971328123,xp_021310930.1 probable aldo-keto reductase 1 isoform x2 [sorghum bicolor] aldo/keto reductase family
Zm00001eb228660,Unknown,none,False,False,False,1.667096797464452,xp_002437637.1 epidermal growth factor receptor substrate 15-like 1 isoform x1 [sorghum bicolor] eps15 homology domain
Zm00001eb356280,Unknown,none,False,False,False,2.668331204954375,
Zm00001eb084920,Unknown,none,False,False,False,2.3696942297445207,xp_004953540.1 60s ribosomal protein l12-1 [setaria italica] belongs to the universal ribosomal protein ul11 family
Zm00001eb172780,Unknown,kinase,True,False,True,3.0310799984111823,xp_021321172.1 sphingoid long-chain bases kinase 1 isoform x2 [sorghum bicolor] diacylglycerol kinase catalytic domain (presumed)
Zm00001eb289530,Unknown,none,False,False,False,2.2084959121108656,xp_002439908.1 protein yipf1 homolog [sorghum bicolor] yip1 domain
Zm00001eb002060,Unknown,none,False,False,False,3.089173372090931,"xp_002468591.1 adp,atp carrier protein 1, mitochondrial [sorghum bicolor] belongs to the mitochondrial carrier (tc 2.a.29) family"
Zm00001eb218270,Unknown,none,False,False,False,1.4031557575826,"xp_003561615.1 protein photosystem i assembly 2, chloroplastic isoform x1 [brachypodium distachyon] dnaj hsp40 cysteine-rich domain superfamily protein"
Zm00001eb131860,Unknown,none,False,False,False,2.648928550238483,xp_002457859.1 protein sodium potassium root defective 1 [sorghum bicolor] heavy-metal-associated domain
Zm00001eb335380,Unknown,none,False,False,False,3.8109937345835183,xp_052140472.1 delta(7)-sterol-c5(6)-desaturase-like [oryza glaberrima] belongs to the sterol desaturase family
Zm00001eb330450,Unknown,none,False,False,False,2.9306116708948107,xp_002463372.2 f-actin-capping protein subunit alpha [sorghum bicolor] f-actin-capping proteins bind in a ca(2 )-independent manner to the fast growing ends of actin filaments (barbed end) thereby blo
Zm00001eb201100,Unknown,none,False,False,False,5.598555575237356,xp_004978846.1 serine/arginine repetitive matrix protein 1 [setaria italica] nan
