gene_id,total_peaks,disrupted_peaks,intact_peaks,fraction_disrupted,n_bqtl,mean_peak_breadth,abs_log2_ase,expression,drought_fc,annotation
Zm00001eb000010,2,0,2,0.0,0,11.5,0.262195797456698,59.6,0.596,
Zm00001eb000020,3,0,3,0.0,0,7.666666666666667,0.9001636506762375,6.1,0.438,
Zm00001eb000060,1,0,1,0.0,0,25.0,0.1534272745995651,104.5,-0.279,
Zm00001eb000070,1,0,1,0.0,0,23.0,,,,
Zm00001eb000080,2,0,2,0.0,0,1.5,0.9540650174737564,86.4,0.124,
Zm00001eb000120,1,0,1,0.0,0,3.0,,,,
Zm00001eb000140,2,0,2,0.0,0,13.0,,,,
Zm00001eb000150,1,0,1,0.0,0,11.0,0.6641412566343035,9.2,-0.401,
Zm00001eb000170,2,0,2,0.0,0,15.0,0.2120137042704556,78.3,0.191,
Zm00001eb000180,2,0,2,0.0,0,3.0,0.0,3.9,1.188,
Zm00001eb000190,1,0,1,0.0,0,24.0,0.4390520656616332,25.3,0.983,
Zm00001eb000200,2,0,2,0.0,0,4.0,,,,
Zm00001eb000210,2,0,2,0.0,0,13.5,0.2276239359491477,56.7,0.245,
Zm00001eb000220,1,0,1,0.0,0,24.0,0.3865345167493874,153.8,-0.075,
Zm00001eb000230,3,1,2,0.3333333333333333,1,16.333333333333332,0.4426828521778708,184.9,0.691,
Zm00001eb000240,2,0,2,0.0,0,12.0,0.1431798290540657,162.9,-0.713,
Zm00001eb000270,1,1,0,1.0,1,25.0,,,,
Zm00001eb000300,1,0,1,0.0,0,1.0,0.432959407276106,15.7,0.058,
Zm00001eb000310,1,0,1,0.0,0,13.0,0.570955312636358,6.5,1.0,
Zm00001eb000320,2,0,2,0.0,0,4.5,0.6298022595369017,35.7,1.172,
Zm00001eb000330,1,0,1,0.0,0,25.0,0.4390218925283138,16.3,1.126,
Zm00001eb000340,2,0,2,0.0,0,12.0,0.1984229518165646,98.4,0.464,
Zm00001eb000370,2,1,1,0.5,1,24.5,,,,
Zm00001eb000380,2,0,2,0.0,0,10.0,,0.5,-0.322,
Zm00001eb000390,2,0,2,0.0,0,1.5,,,,
Zm00001eb000400,2,1,1,0.5,1,5.5,2.272160258111905,0.8,0.214,
Zm00001eb000410,2,0,2,0.0,0,10.5,,0.5,0.322,
Zm00001eb000420,4,1,3,0.25,1,14.75,0.2053075506686004,382.5,1.0,
Zm00001eb000430,3,1,2,0.3333333333333333,2,10.333333333333334,,,,
Zm00001eb000440,2,2,0,1.0,2,7.5,1.4372345589580704,1.0,0.415,
Zm00001eb000450,2,2,0,1.0,7,25.0,0.4407388873118929,1610.4,-2.714,
Zm00001eb000460,3,1,2,0.3333333333333333,1,7.333333333333333,4.792989250213446,2.9,-0.375,
Zm00001eb000470,3,1,2,0.3333333333333333,2,9.333333333333334,1.064563611705092,424.3,0.14,
Zm00001eb000480,4,1,3,0.25,1,7.5,0.1978717239964643,4616.0,0.188,
Zm00001eb000490,1,0,1,0.0,0,25.0,0.6934685613427469,5.2,0.342,
Zm00001eb000500,1,1,0,1.0,1,25.0,1.2908197857629533,69.8,-0.273,
Zm00001eb000510,2,1,1,0.5,3,13.5,0.1978190217072277,448.7,-0.719,
Zm00001eb000520,1,0,1,0.0,0,25.0,0.1149705973034291,238.5,0.196,
Zm00001eb000540,2,0,2,0.0,0,13.5,,,,
Zm00001eb000550,2,0,2,0.0,0,13.0,0.2065720069323192,161.7,-0.498,
Zm00001eb000560,2,1,1,0.5,1,1.5,,,,
Zm00001eb000570,3,1,2,0.3333333333333333,1,9.333333333333334,0.576614453032858,25.3,-1.459,
Zm00001eb000580,1,0,1,0.0,0,3.0,,,,
Zm00001eb000590,2,1,1,0.5,1,13.0,0.1529546275047342,596.8,0.079,
Zm00001eb000600,1,0,1,0.0,0,3.0,,,,
Zm00001eb000620,1,1,0,1.0,5,25.0,0.1349637308646764,1490.3,-0.502,
Zm00001eb000640,3,0,3,0.0,0,9.333333333333334,0.6023628183935358,32.6,1.113,
Zm00001eb000650,4,1,3,0.25,3,8.0,0.5860600073570761,33.5,0.033,
Zm00001eb000660,3,0,3,0.0,0,13.0,2.377763272476578,3.6,-1.583,
Zm00001eb000670,1,1,0,1.0,2,25.0,1.1136865249716534,392.5,0.147,
Zm00001eb000680,1,1,0,1.0,2,25.0,0.7113517811378156,3.2,1.156,
Zm00001eb000690,1,0,1,0.0,0,25.0,0.2757110632539588,161.0,0.154,
Zm00001eb000700,2,1,1,0.5,1,13.5,0.1380389177650996,381.9,0.002,
Zm00001eb000710,1,0,1,0.0,0,16.0,0.281197994060944,50.3,0.188,
Zm00001eb000720,2,1,1,0.5,2,13.0,0.7527456435510058,54.6,-0.463,
Zm00001eb000740,3,1,2,0.3333333333333333,2,9.0,0.3153871899070983,473.9,-0.448,
Zm00001eb000750,2,0,2,0.0,0,15.5,0.2548522578958869,773.1,-1.068,
Zm00001eb000760,3,3,0,1.0,8,15.333333333333334,0.2536697411872334,412.6,-0.85,
Zm00001eb000770,1,1,0,1.0,5,25.0,0.316146215806699,1920.8,0.269,
Zm00001eb000780,4,1,3,0.25,1,7.25,0.3697670634729346,497.1,0.91,
Zm00001eb000790,1,0,1,0.0,0,23.0,0.5720970659704506,142.8,1.958,
Zm00001eb000800,2,2,0,1.0,5,25.0,0.2503845658639104,132.8,0.819,
Zm00001eb000810,3,1,2,0.3333333333333333,2,11.0,,,,
Zm00001eb000820,1,0,1,0.0,0,25.0,0.1777393530824356,314.1,0.072,
Zm00001eb000830,3,2,1,0.6666666666666666,2,9.0,,,,
Zm00001eb000840,2,1,1,0.5,1,15.5,0.750192209485176,61.6,-1.786,
Zm00001eb000850,1,1,0,1.0,1,25.0,0.5080180422526216,18534.0,2.454,
Zm00001eb000860,1,1,0,1.0,2,25.0,0.2597219229586762,339.1,0.784,
Zm00001eb000870,1,0,1,0.0,0,25.0,0.1503446416230323,831.5,0.405,
Zm00001eb000880,2,1,1,0.5,6,17.5,0.6433293148933175,14.5,-1.698,
Zm00001eb000890,1,0,1,0.0,0,25.0,0.4150374992788438,1.5,0.966,
Zm00001eb000900,1,1,0,1.0,2,25.0,0.4333028794733982,22.6,2.722,
Zm00001eb000910,1,1,0,1.0,2,25.0,0.6323088235914869,60.1,0.29,
Zm00001eb000920,3,3,0,1.0,6,23.333333333333332,0.2700363072662574,859.7,0.049,
Zm00001eb000930,3,0,3,0.0,0,10.0,0.94046638673079,186.5,-0.173,
Zm00001eb000940,2,1,1,0.5,2,14.5,,,,
Zm00001eb000960,2,1,1,0.5,1,9.0,0.6218188666630894,8.9,1.144,
Zm00001eb000970,4,0,4,0.0,0,7.5,0.2167333152656364,91.4,0.269,
Zm00001eb000980,2,1,1,0.5,2,22.0,0.3646786152453956,225.4,0.492,
Zm00001eb000990,3,2,1,0.6666666666666666,3,9.0,0.5116381172531907,16.0,-0.14,
Zm00001eb001000,2,1,1,0.5,2,12.5,0.1760114164778748,673.8,0.643,
Zm00001eb001010,5,1,4,0.2,1,8.0,0.5112381923724449,67.5,0.085,
Zm00001eb001020,2,1,1,0.5,1,10.0,0.4537871575502946,214.9,-0.44,
Zm00001eb001030,2,1,1,0.5,3,22.5,,,,
Zm00001eb001040,2,2,0,1.0,5,24.5,0.2467060782468514,472.7,-0.622,
Zm00001eb001050,3,2,1,0.6666666666666666,3,12.333333333333334,0.716661202255204,105.9,-0.265,
Zm00001eb001060,4,2,2,0.5,4,13.0,1.3597006949035677,62.3,2.861,
Zm00001eb001070,5,2,3,0.4,4,10.6,0.2691507467676041,198.2,1.072,
Zm00001eb001090,2,2,0,1.0,5,23.0,,,,
Zm00001eb001100,1,0,1,0.0,0,20.0,,,,
Zm00001eb001110,1,1,0,1.0,1,25.0,0.2586636471121223,162.7,0.25,
Zm00001eb001120,3,2,1,0.6666666666666666,2,17.333333333333332,0.1928027856368538,359.0,-0.719,
Zm00001eb001130,2,1,1,0.5,2,5.5,0.2643947409289434,351.1,0.377,
Zm00001eb001140,2,0,2,0.0,0,13.5,0.2671053726448258,389.5,-1.953,
Zm00001eb001150,4,0,4,0.0,0,1.25,0.2048391215201698,182.3,-0.537,
Zm00001eb001160,1,0,1,0.0,0,1.0,,,,
Zm00001eb001170,1,0,1,0.0,0,1.0,0.5665314331260696,1259.9,0.121,
Zm00001eb001180,3,2,1,0.6666666666666666,5,17.333333333333332,2.4223823962148363,1882.4,0.486,
Zm00001eb001190,2,0,2,0.0,0,21.5,0.8436003424628113,4.2,0.889,
Zm00001eb001200,1,0,1,0.0,0,24.0,0.4063798146414725,687.3,0.296,
Zm00001eb001210,2,1,1,0.5,1,14.0,,3.2,1.533,
Zm00001eb001220,3,0,3,0.0,0,12.0,0.6309887383785524,178.6,3.059,
Zm00001eb001230,2,0,2,0.0,0,1.0,,,,
Zm00001eb001240,1,0,1,0.0,0,25.0,0.366661402424947,106.4,0.54,
Zm00001eb001250,1,0,1,0.0,0,1.0,,,,
Zm00001eb001260,4,0,4,0.0,0,9.25,0.6086124974914857,33.0,0.873,
Zm00001eb001270,3,1,2,0.3333333333333333,5,9.0,0.4195634998041642,160.9,0.129,
Zm00001eb001280,3,1,2,0.3333333333333333,1,6.666666666666667,0.6305858274844163,640.1,3.883,
Zm00001eb001290,1,1,0,1.0,1,25.0,0.3135986282193314,475.0,0.401,
Zm00001eb001340,4,1,3,0.25,1,7.5,1.061444779750996,48.5,1.336,
Zm00001eb001350,3,1,2,0.3333333333333333,2,5.333333333333333,0.7697278430128671,147.5,0.501,
Zm00001eb001360,2,1,1,0.5,1,13.0,0.5964134364665677,268.9,-0.088,
Zm00001eb001370,2,0,2,0.0,0,25.0,0.7369655941662062,0.7,0.29,
