gene_id,n_bqtl,n_in_peak,n_with_motif,recoverable_peak_only,recoverable_motif_only,recoverable_peak_and_motif,has_unique_family,best_chr,best_pos,best_cohens_d,best_fdr,best_families
Zm00001eb001270,2,2,2,False,False,False,True,,,,,
Zm00001eb001600,2,2,2,False,False,False,True,,,,,
Zm00001eb001950,2,2,2,False,False,False,True,,,,,
Zm00001eb005570,2,2,2,False,False,False,True,,,,,
Zm00001eb007930,2,2,2,False,False,False,True,,,,,
Zm00001eb009360,2,1,2,True,False,True,True,chr1,28904990.0,-2.3835838377158187,0.0234529107256379,C2H2|LBD|MIKC_MADS|NAC
Zm00001eb013660,2,2,2,False,False,False,True,,,,,
Zm00001eb013950,2,2,2,False,False,False,True,,,,,
Zm00001eb014970,3,3,3,False,False,False,True,,,,,
Zm00001eb016180,4,2,4,False,False,False,True,,,,,
Zm00001eb016190,6,4,6,False,False,False,True,,,,,
Zm00001eb018320,2,2,2,False,False,False,True,,,,,
Zm00001eb018460,2,2,2,False,False,False,True,,,,,
Zm00001eb018700,3,3,3,False,False,False,True,,,,,
Zm00001eb021270,5,4,5,False,False,False,True,,,,,
Zm00001eb021310,2,1,2,True,False,True,True,chr1,81002344.0,4.007154182935343,0.0310074540843771,BBR-BPC|C2H2|ERF|GRAS|MIKC_MADS|MYB|NAC|TALE
Zm00001eb021970,2,2,2,False,False,False,True,,,,,
Zm00001eb026220,3,3,3,False,False,False,True,,,,,
Zm00001eb028000,2,1,2,True,False,True,True,chr1,144798035.0,5.156855964103568,0.0219377080393704,C2H2|ERF|GRAS|MIKC_MADS|MYB|MYB_related|Trihelix
Zm00001eb028430,2,2,2,False,False,False,True,,,,,
Zm00001eb031410,3,3,3,False,False,False,True,,,,,
Zm00001eb032500,3,3,3,False,False,False,True,,,,,
Zm00001eb035780,2,2,2,False,False,False,True,,,,,
Zm00001eb040040,2,2,2,False,False,False,True,,,,,
Zm00001eb040450,2,2,2,False,False,False,True,,,,,
Zm00001eb041560,2,1,2,True,False,True,True,chr1,218922923.0,2.8479143603915977,0.0338267581908725,NONE
Zm00001eb042240,2,2,2,False,False,False,True,,,,,
Zm00001eb043640,3,2,3,False,False,False,True,,,,,
Zm00001eb043760,2,2,2,False,False,False,True,,,,,
Zm00001eb043770,2,2,2,False,False,False,True,,,,,
Zm00001eb046040,2,2,2,False,False,False,True,,,,,
Zm00001eb047760,3,3,3,False,False,False,True,,,,,
Zm00001eb049910,2,2,2,False,False,False,True,,,,,
Zm00001eb054280,5,5,5,False,False,False,True,,,,,
Zm00001eb057040,2,2,2,False,False,False,True,,,,,
Zm00001eb059140,2,2,2,False,False,False,True,,,,,
Zm00001eb062600,2,2,2,False,False,False,True,,,,,
Zm00001eb064010,2,2,2,False,False,False,True,,,,,
Zm00001eb064860,2,1,2,True,False,True,True,chr1,306170486.0,-2.369890654720292,0.0311895358527482,CPP
Zm00001eb064940,2,2,2,False,False,False,True,,,,,
Zm00001eb065920,2,2,2,False,False,False,True,,,,,
Zm00001eb070750,4,4,4,False,False,False,True,,,,,
Zm00001eb075800,2,2,2,False,False,False,True,,,,,
Zm00001eb078870,3,3,3,False,False,False,True,,,,,
Zm00001eb079290,2,2,2,False,False,False,True,,,,,
Zm00001eb079430,3,3,3,False,False,False,True,,,,,
Zm00001eb080320,3,3,3,False,False,False,True,,,,,
Zm00001eb081450,3,3,3,False,False,False,True,,,,,
Zm00001eb081590,2,2,2,False,False,False,True,,,,,
Zm00001eb093980,3,3,3,False,False,False,True,,,,,
Zm00001eb094560,2,2,2,False,False,False,True,,,,,
Zm00001eb095330,2,2,2,False,False,False,True,,,,,
Zm00001eb096360,3,3,3,False,False,False,True,,,,,
Zm00001eb097220,4,4,4,False,False,False,True,,,,,
Zm00001eb099670,2,2,2,False,False,False,True,,,,,
Zm00001eb100360,2,2,2,False,False,False,True,,,,,
Zm00001eb100720,3,3,3,False,False,False,True,,,,,
Zm00001eb101150,2,2,2,False,False,False,True,,,,,
Zm00001eb101700,2,2,2,False,False,False,True,,,,,
Zm00001eb102800,2,2,2,False,False,False,True,,,,,
Zm00001eb102850,4,4,4,False,False,False,True,,,,,
Zm00001eb104690,2,2,2,False,False,False,True,,,,,
Zm00001eb105390,2,2,2,False,False,False,True,,,,,
Zm00001eb109800,2,2,2,False,False,False,True,,,,,
Zm00001eb110300,2,2,2,False,False,False,True,,,,,
Zm00001eb110810,2,2,2,False,False,False,True,,,,,
Zm00001eb114860,2,2,2,False,False,False,True,,,,,
Zm00001eb117240,2,2,2,False,False,False,True,,,,,
Zm00001eb118820,2,2,2,False,False,False,True,,,,,
Zm00001eb119100,2,2,2,False,False,False,True,,,,,
Zm00001eb119650,2,2,2,False,False,False,True,,,,,
