chr,pos,gene_id,abs_d,peak_width_smallest,peak_width_median,n_hybrids_with_peak,total_motifs_in_peak,n_families_in_peak,motifs_at_variant,n_fam_at_variant,min_redundancy_in_peak
chr1,5744103,Zm00001eb002000,1.993102093160976,241,267.0,4,109,20,17,7,1
chr1,33102069,Zm00001eb010410,1.0788372516249425,417,479.0,25,189,26,23,9,1
chr1,33805903,Zm00001eb010590,2.890233195828243,274,360.0,25,95,23,12,7,1
chr1,33805903,Zm00001eb010600,3.4479645166968327,274,360.0,25,95,23,12,7,1
chr1,34133753,Zm00001eb010650,1.7228995125959938,127,166.5,6,52,15,8,4,1
chr1,35686099,Zm00001eb011070,1.044301392229479,311,708.5,24,141,24,7,6,1
chr1,45314945,Zm00001eb013520,1.971193291247158,62,130.0,24,54,14,26,4,2
chr1,45913981,Zm00001eb013720,2.0162190655371113,125,484.0,5,40,10,6,3,1
chr1,46460037,Zm00001eb013870,3.131431563537838,82,588.5,22,21,9,3,1,7
chr1,52046833,Zm00001eb015210,4.106711314474418,213,254.0,23,78,16,3,1,7
chr1,55231201,Zm00001eb015900,1.9620971190194931,71,108.5,14,20,10,7,5,1
chr1,57416832,Zm00001eb016400,2.6790199520921387,81,124.0,5,27,11,15,7,1
chr1,77325694,Zm00001eb020660,2.326271549412075,157,222.0,25,43,14,4,2,1
chr1,154479231,Zm00001eb028820,3.4905867984114125,235,448.0,23,86,22,18,10,1
chr1,170914905,Zm00001eb030870,2.075649400692202,428,479.0,4,179,23,18,5,4
chr1,184804492,Zm00001eb033190,3.307093446829383,150,151.0,3,75,19,9,6,1
chr1,211667666,Zm00001eb040100,1.7076390765853546,229,305.0,25,71,19,14,7,2
chr1,227767796,Zm00001eb043170,2.452830718673834,127,129.0,2,40,11,13,9,1
chr1,228494853,Zm00001eb043450,1.784514558719577,143,194.0,17,124,23,7,2,4
chr1,233018019,Zm00001eb044650,2.886499000041,225,289.0,16,139,18,7,4,1
chr1,234151085,Zm00001eb044960,1.4648802799572245,157,199.0,7,69,12,10,5,1
chr1,235137771,Zm00001eb045280,4.228606261614184,63,133.0,17,14,6,12,6,1
chr1,235367280,Zm00001eb045370,2.976264698232123,273,362.0,12,160,21,12,6,2
chr1,239371910,Zm00001eb046280,1.8903427375092523,120,158.0,24,74,16,11,4,1
chr1,251130738,Zm00001eb048860,3.03060708710378,322,828.0,25,104,25,20,6,2
chr1,254176253,Zm00001eb049730,2.7451497712416173,82,82.0,2,17,7,3,3,1
chr1,261611654,Zm00001eb051580,1.7412248383409954,183,272.0,25,47,16,15,10,1
chr1,262493215,Zm00001eb051780,2.6326472771472624,363,541.5,16,132,21,9,6,2
chr1,264527680,Zm00001eb052270,2.0778879095474374,210,466.0,24,75,17,31,6,2
chr1,266477700,Zm00001eb052940,1.9002833214490025,100,199.0,25,70,19,34,10,1
