gene_id,chr,pos,abs_d,cohens_d,description,cog_description,func_category,signaling_layer,all_layers,tf_families,n_families,log2fc_drought,drought_cat,go_biological,kegg_pathway,n_variant_hybrids,n_ref_hybrids
Zm00001eb002000,chr1,5744103,1.993102093160976,-1.993102093160976,XP_021306340.1 uncharacterized protein LOC110431557 isoform X1 [Sorghum bicolor],PHD zinc finger,Unknown,Transcription Factor,Transcription Factor,"MYB,MYB_related",2,0.014,Stable,,,4,15
Zm00001eb010410,chr1,33102069,1.0788372516249425,-1.0788372516249425,XP_022678890.1 fibrous sheath CABYR-binding protein isoform X2 [Setaria italica],Acyl CoA binding protein,Unknown,Signal Transduction,Signal Transduction,"B3,HD-ZIP,WOX",3,-1.223,Strong down,,,9,8
Zm00001eb010590,chr1,33805903,2.890233195828243,2.890233195828243,"XP_002465558.1 ATP-dependent Clp protease ATP-binding subunit CLPT1, chloroplastic [Sorghum bicolor]","Clp amino terminal domain, pathogenicity island component",Unknown,Protein Processing,Protein Processing,"CAMTA,LBD,Trihelix,bHLH",4,-0.722,Stable,,,7,12
Zm00001eb010600,chr1,33805903,3.4479645166968327,3.4479645166968327,nan,nan,Unknown,Unknown,Unknown,"CAMTA,LBD,Trihelix,bHLH",4,-0.007,Stable,,,7,12
Zm00001eb010650,chr1,34133753,1.7228995125959938,1.7228995125959938,XP_002468177.1 pentatricopeptide repeat-containing protein At4g21065 [Sorghum bicolor],DYW family of nucleic acid deaminases,Unknown,Signal Transduction,Signal Transduction,CPP,1,1.511,Strong up,,,5,14
Zm00001eb011070,chr1,35686099,1.044301392229479,-1.044301392229479,XP_021310343.1 uncharacterized protein LOC8078835 [Sorghum bicolor],FAR1 DNA-binding domain,Unknown,Transcription Factor,Transcription Factor,bZIP,1,-1.343,Strong down,,,3,14
Zm00001eb013520,chr1,45314945,1.971193291247158,1.971193291247158,XP_002465414.1 pyruvate decarboxylase 2 [Sorghum bicolor],Belongs to the TPP enzyme family,Unknown,Hormone,Hormone,"C2H2,ERF,TCP",3,1.552,Strong up,,"ko00010,ko01100,ko01110,ko01130,map00010,map01100,map01110,map01130",12,7
Zm00001eb013720,chr1,45913981,2.0162190655371113,-2.0162190655371113,XP_002468020.2 uncharacterized protein LOC8081119 [Sorghum bicolor],Autophagy-related protein 27,Unknown,Unknown,Unknown,"LBD,MIKC_MADS,TALE",3,1.415,Strong up,,"ko04138,map04138",6,13
Zm00001eb013870,chr1,46460037,3.131431563537838,3.131431563537838,XP_002465403.1 U2 small nuclear ribonucleoprotein B'' [Sorghum bicolor],U2 small nuclear ribonucleoprotein B'',Unknown,Unknown,Unknown,"CPP,MYB",2,0.546,Stable,,"ko03040,map03040",12,4
Zm00001eb015210,chr1,52046833,4.106711314474418,4.106711314474418,XP_021319570.1 CBL-interacting protein kinase 31 isoform X2 [Sorghum bicolor],Non-specific serine threonine protein kinase,Unknown,Signal Transduction,Signal Transduction|Metabolism,NONE,1,1.376,Strong up,,"ko04068,ko04140,ko04150,ko04151,ko04152,ko04211,ko04213,ko04371,ko04530,ko04710,ko04714,ko04910,ko04920,ko04921,ko04922,ko04931,ko04932,ko05410,ko05418,map04068,map04140,map04150,map04151,map04152,map",4,14
Zm00001eb015900,chr1,55231201,1.9620971190194931,1.9620971190194931,XP_021312231.1 uncharacterized protein LOC8083667 isoform X2 [Sorghum bicolor],nan,Unknown,Unknown,Unknown,MYB_related,1,0.622,Stable,,,8,7
Zm00001eb016400,chr1,57416832,2.6790199520921387,-2.6790199520921387,nan,nan,Unknown,Unknown,Unknown,"MYB,TCP,Trihelix",3,0.634,Stable,,,8,6
Zm00001eb020660,chr1,77325694,2.326271549412075,-2.326271549412075,XP_002465088.1 probable esterase D14L [Sorghum bicolor],arbuscular mycorrhizal association,Unknown,Unknown,Unknown,"CPP,MYB_related",2,0.486,Stable,,,10,8
Zm00001eb028820,chr1,154479231,3.4905867984114125,-3.4905867984114125,XP_021321599.1 myb-related protein MYBAS2-like isoform X3 [Sorghum bicolor],Myb-like DNA-binding domain,Unknown,Transcription Factor,Transcription Factor,"Dof,EIL,G2-like,GRAS,TALE",5,-0.451,Stable,,,3,15
Zm00001eb030870,chr1,170914905,2.075649400692202,-2.075649400692202,XP_002442448.1 protein DA1-related 1 [Sorghum bicolor],Protein DA1,Unknown,Unknown,Unknown,"CPP,MYB,Trihelix,WOX",4,0.655,Stable,,,7,7
Zm00001eb033190,chr1,184804492,3.307093446829383,-3.307093446829383,XP_002442626.1 protein yippee-like At3g55890 [Sorghum bicolor],Belongs to the yippee family,Unknown,Unknown,Unknown,"ARF,C2H2,GRAS,MIKC_MADS,MYB,NAC",6,0.031,Stable,,,7,11
Zm00001eb040100,chr1,211667666,1.7076390765853546,1.7076390765853546,XP_002445738.1 thaumatin-like protein 1 [Sorghum bicolor],Thaumatin family,Unknown,Unknown,Unknown,ERF,1,0.831,Stable,,,10,5
Zm00001eb043170,chr1,227767796,2.452830718673834,-2.452830718673834,nan,nan,Unknown,Unknown,Unknown,E2F/DP,1,-0.552,Stable,,,4,11
Zm00001eb043450,chr1,228494853,1.784514558719577,-1.784514558719577,XP_002464366.1 uncharacterized protein LOC8065156 [Sorghum bicolor],"Protein of unknown function, DUF538",Unknown,Unknown,Unknown,"ARF,ERF,LBD,Trihelix",4,0.119,Stable,,,6,12
Zm00001eb044650,chr1,233018019,2.886499000041,2.886499000041,"XP_002467010.1 protochlorophyllide reductase B, chloroplastic [Sorghum bicolor]",short chain dehydrogenase,Unknown,Metabolism,Metabolism,"ERF,LBD",2,-1.517,Strong down,,"ko00860,ko01100,ko01110,map00860,map01100,map01110",6,8
Zm00001eb044960,chr1,234151085,1.4648802799572245,-1.4648802799572245,XP_002467027.1 uncharacterized protein LOC8065827 [Sorghum bicolor],Peptidase of plants and bacteria,Unknown,Protein Processing,Protein Processing,"MYB_related,Trihelix",2,0.001,Stable,,,4,9
Zm00001eb045280,chr1,235137771,4.228606261614184,4.228606261614184,XP_021306524.1 vacuolar protein sorting-associated protein 52 A isoform X1 [Sorghum bicolor],Vps52 / Sac2 family,Unknown,Unknown,Unknown,SBP,1,0.005,Stable,,,3,16
Zm00001eb045370,chr1,235367280,2.976264698232123,2.976264698232123,XP_002464463.2 uncharacterized protein LOC8067394 [Sorghum bicolor],nan,Unknown,Unknown,Unknown,bZIP,1,-0.09,Stable,,,11,7
Zm00001eb046280,chr1,239371910,1.8903427375092523,-1.8903427375092523,XP_052134140.1 E3 ubiquitin-protein ligase WAV3-like [Oryza glaberrima],VWA domain containing CoxE-like protein,Unknown,Protein Processing,Protein Processing|Metabolism,"C2H2,ERF,GRAS,HD-ZIP,MIKC_MADS,MYB_related,NAC",7,-1.538,Strong down,,,9,7
Zm00001eb048860,chr1,251130738,3.03060708710378,3.03060708710378,XP_002464321.1 protein DETOXIFICATION 40 [Sorghum bicolor],Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family,Unknown,Unknown,Unknown,"B3,NAC",2,-1.819,Strong down,,,4,14
Zm00001eb049730,chr1,254176253,2.7451497712416173,-2.7451497712416173,XP_021314310.1 factor of DNA methylation 1 [Sorghum bicolor],XH domain,Unknown,Unknown,Unknown,NONE,1,1.603,Strong up,,,4,12
Zm00001eb051580,chr1,261611654,1.7412248383409954,-1.7412248383409954,XP_002464238.1 BTB/POZ domain-containing protein NPY4 [Sorghum bicolor],Belongs to the NPH3 family,Unknown,Signal Transduction,Signal Transduction,"B3,C2H2,NAC",3,-0.109,Stable,,,11,7
Zm00001eb051780,chr1,262493215,2.6326472771472624,2.6326472771472624,XP_002466829.1 uncharacterized protein LOC8062521 [Sorghum bicolor],Protein of unknown function (DUF760),Unknown,Unknown,Unknown,"CAMTA,NAC",2,0.204,Stable,,,5,9
Zm00001eb052270,chr1,264527680,2.0778879095474374,2.0778879095474374,XP_002466690.2 deoxyuridine 5'-triphosphate nucleotidohydrolase [Sorghum bicolor],dUTPase,Unknown,Metabolism,Metabolism,"CPP,ERF,WRKY",3,-0.134,Stable,,"ko00240,ko00983,ko01100,map00240,map00983,map01100",9,7
Zm00001eb052940,chr1,266477700,1.9002833214490025,1.9002833214490025,XP_021306882.1 rhomboid-like protein 15 isoform X2 [Sorghum bicolor],Rhomboid family,Unknown,Unknown,Unknown,"Dof,ERF,G2-like,MIKC_MADS,NAC",5,0.83,Stable,,,13,6
Zm00001eb055720,chr1,277129800,2.346077363192974,2.346077363192974,XP_021307524.1 random slug protein 5-like [Sorghum bicolor],Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (S,Unknown,Signal Transduction,Signal Transduction|Second Messenger,NONE,1,-0.21,Stable,,,6,12
Zm00001eb056930,chr1,281863688,1.8450745007643008,1.8450745007643008,XP_021311613.1 stem-specific protein TSJT1-like [Sorghum bicolor],DUF3700,Unknown,Unknown,Unknown,"C2H2,Dof,MYB,WOX",4,0.55,Stable,,,8,8
Zm00001eb058750,chr1,287900267,2.289258328627231,-2.289258328627231,"XP_002463825.1 30S ribosomal protein S9, chloroplastic [Sorghum bicolor]",Belongs to the universal ribosomal protein uS9 family,Unknown,Translation,Translation,"C2H2,ERF,GRAS,TALE",4,-0.483,Stable,,"ko03010,map03010",9,8
Zm00001eb064000,chr1,303833607,2.7193341663871995,2.7193341663871995,"XP_002463547.1 prohibitin-1, mitochondrial [Sorghum bicolor]",SPFH domain / Band 7 family,Unknown,Unknown,Unknown,"ARF,NAC",2,0.745,Stable,,,5,13
Zm00001eb064190,chr1,304254031,3.4095005292035405,3.4095005292035405,XP_002463535.1 poly(ADP-ribose) glycohydrolase 1 [Sorghum bicolor],Poly (ADP-ribose) glycohydrolase (PARG),Unknown,Metabolism,Metabolism,NONE,1,0.677,Stable,,,9,7
Zm00001eb064350,chr1,304701394,2.4350892059607414,2.4350892059607414,XP_012704141.1 pirin-like protein isoform X2 [Setaria italica],Belongs to the pirin family,Unknown,Unknown,Unknown,CAMTA,1,-0.67,Stable,,,4,13
Zm00001eb064670,chr1,305701303,2.9504195754854488,-2.9504195754854488,XP_002466086.1 pantoate--beta-alanine ligase [Sorghum bicolor],Pantoate-beta-alanine ligase,Unknown,Metabolism,Metabolism,"C2H2,GRAS,Trihelix",3,0.167,Stable,,"ko00410,ko00770,ko01100,ko01110,map00410,map00770,map01100,map01110",11,4
Zm00001eb064930,chr1,306411699,4.1461282108010815,-4.1461282108010815,XP_002466067.2 ATP-dependent DNA helicase 2 subunit KU80 [Sorghum bicolor],ATP-dependent DNA helicase 2 subunit ku80,Unknown,Unknown,Unknown,"C2H2,ERF,MIKC_MADS",3,0.737,Stable,,"ko03450,map03450",5,13
